Organisatie,Naam,Haakje,Bron-URL,Bron-type,Trap,Gevonden
SOMT University of Physiotherapy,Annelies Pool,"Geciteerd in OnderNamen over hun cohortonderzoek: ""De uniciteit van deze studie is dat we dit over zo'n lange periode onderzoeken"" en ""Wij denken dat blessures bij jonge sporters de opmaat kunnen zijn voor problemen in hun latere leven"" - https://ondernamen.nl/we-groeien-uit-tot-expertisecentrum-in-het-voorspellen-van-toekomstige-functionele-gezondheid/",,webresearch,1,Ja
Salta Group,Inez Smit,"LinkedIn-post, inhoud niet leesbaar (LinkedIn blokkeert), open hem zelf: https://nl.linkedin.com/posts/inezsmit_en-zo-is-het-activity-7082094383033929728-1huG",,webresearch,1,Ja
Salta Group,Justus van Ebbenhorst Tengbergen,LinkedIn-post over 15 jaar bij NCOI Groep en hoe de organisatie sindsdien veranderde: https://nl.linkedin.com/posts/justus-van-ebbenhorst-tengbergen-6aa2216_vandaag-werk-ik-15-jaar-bij-ncoi-groep-toen-activity-6872892636106113024-ojzy,,webresearch,1,Ja
Schouten & Nelissen,Ronald de Vries,"Interview over de terugkeer naar de naam Schouten & Nelissen: ""We nemen niet alleen de naam en het logo over, maar nemen ook de bekende kwaliteit, content, beleving en merkstrategie mee."" - https://kwaliteit-in-bedrijf.nl/artikel/lang-leve-leren-bij-schouten-en-nelissen/",,webresearch,1,Ja
Schouten & Nelissen,Conny Spijker,Deelt de Develhub-sessie bij Schouten & Nelissen over inzichten van de ATD-conferentie: https://nl.linkedin.com/posts/connyspijker_schouten-nelissen-opleidingen-en-trainingen-activity-7379199535450890240-xtsr,,webresearch,1,Ja
Stichting Wateropleidingen,Claudia Peters MSc,"Interview bij WENB over het introductieprogramma voor 23 nieuwe Vitens-medewerkers: ""Het programma bleek zeer effectief. Alle nieuwe medewerkers bleven bij Vitens. De uitval was nul"" - https://www.wenb.nl/nieuws/openbaar/2023/interview-met-claudia-peters-opleidingsmanager-bij-stichting-wateropleidingen",,webresearch,1,Ja
Team Academy / Schoolvision,Graeme La'Met,"Profieltekst: richt zich op ""crafting educational and commercial programs tailored for youths and young adults"" en op ""identifying and bridging training gaps through a holistic blend of e-learning, coaching, mentoring, and leadership development"". Werkte via La'Met education samen met De Haagse Hogeschool.",,webresearch,1,Ja
VAPRO,Niels Korst,"Interview VVVF over arbeidskrapte en opleiden: ""Het zijn mensen die geinteresseerd zijn in techniek maar er nog niet eerder in werkten"" en ""Juist de dagelijkse, herkenbare voorbeelden blijven goed hangen"" - https://www.vvvf.nl/cms/showpage.aspx?id=6562",,webresearch,1,Ja
Capabel Onderwijs / Capabel Hogeschool,Karien van Dijk,"Baas van alle opleidingscoordinatoren, geen tussenmanager. Tweede kandidaat: Sanne Dragstra, Manager Kwaliteit + examencommissie.",,webresearch,1,Ja
Amsterdam School of Real Estate (ASRE),Arno van der Vlist,"Academisch directeur van een instituut van ~110 man, gaat over het onderwijsprogramma. Tweede kandidaat: onderwijscoordinatoren Sandy Snoeren / Astrid Toorop, maar die zijn uitvoerend.",,webresearch,1,Ja
Academie Artemis,Femke Bex,"Enige rol met onderwijsmandaat naast de twee managing directors (Martijn Feringa, Danielle Robben). Kwaliteitsontwikkeling ligt bij Kira Kool.",,webresearch,1,Ja
KOB (Kader- en Ondernemersopleiding Bouwbedrijf),Robbert van Dam,"Landelijke opleidingsverantwoordelijkheid boven de plaatselijke directeuren (KOB heeft per regio een eigen directeur, die gaan niet over het curriculum).",,webresearch,1,Ja
SPO Nyenrode (Stichting Pensioen Opleidingen),Mark de Wijs,"Kleine organisatie met een eigen Learning & Development-team; de directie beslist. Tweede kandidaat: Tom Smits, mede-directeur.",,webresearch,1,Ja
Habeo+ Hogeschool (voorheen Avans+),Cris van Osch,"Van de tweekoppige directie is hij de kant van de opleidingsuitvoering (Coen Toebosch is algemeen directeur). Daaronder zit een laag opleidingsmanagers per domein, o.a. Milou Vermeulen (Onderwijs).",,webresearch,1,Ja
Saxion Next,,"NIET GEVONDEN: Saxion Next is het particuliere label binnen Hogeschool Saxion (4.300 mdw). Geen eigen onderwijsleiding online vindbaar, Clay geeft niets op de labelnaam. Vraagt om een gerichte LinkedIn-zoekactie of een telefoontje.",,webresearch,1,Ja
Global School for Entrepreneurship,Timo Timmerman,"Kleine private hogeschool zonder zichtbare onderwijslaag; oprichter is hier de baas van het onderwijs. Mede-oprichters Hendrik Halbe en Thomas Blekman. Let op: hij is ook CEO van Haarlem Campus, dubbele pet.",,webresearch,1,Ja
Inholland Academy (Contractgroep Inholland),Floortje Dopmeijer,"Directeur van de contract-/post-hbo-tak, dus los van de bekostigde hogeschool. Zij beslist over het onderwijs binnen Academy.",,webresearch,1,Ja
SDO Hogeschool voor Moderne Bedrijfskunde,Marcel van Marrewijk,"17 medewerkers, bestuurder is tegelijk decaan en dus de onderwijsbaas. Geen aparte onderwijsmanager aanwezig.",,webresearch,1,Ja
CIVAS,Klaartje Droste-Pollmann,"45 medewerkers, geen onderwijsdirecteur zichtbaar. Let op: bron is een datatool, niet de eigen site. Voor verzending even checken of ze er nog zit.",,webresearch,1,Ja
Stichting HVNA,Erasta Jongejan,"Sinds augustus 2023 directeur, daarvoor docent en student bij HVNA. Voorganger Muriel Wagenmans is vertrokken, niet meer gebruiken.",,webresearch,1,Ja
Welkin Kinesiologie College,Annabelle Rijntjes,"Tweekoppige directie met Mariska Kerkdijk, samen oprichters. Bij deze omvang is de eigenaar de onderwijsbaas.",,webresearch,1,Ja
Media en Maatschappij (Stichting Reklame Rakkers),Liesbeth Hop,"Oprichter, directeur en zelf CRKBO-geregistreerd hoofddocent. Alles loopt via haar.",,webresearch,1,Ja
Bureau Tromp,Reinier Tromp,"Oprichtte het bureau in 2010 met Bas Kooijman. 15.000 deelnemers opgeleid, opleidingen zijn de kern van de business.",,webresearch,1,Ja
Home of Impact,Anja Hoogesteger,Klein trainingsbureau met post-hbo-erkende opleiding; oprichter is de onderwijsbaas.,,webresearch,1,Ja
Kans Kwadraat,Vincent Polman,"Directeur sinds 2009, gaat over strategie en partnerships. Onder hem zitten Isa (pedagogisch ontwikkelaar) en Marit (onderwijskundig ontwikkelaar), die kunnen later de inhoudelijke ingang worden.",,webresearch,1,Ja
BusinessCoach Nederland,Bart van den Belt,"Oprichter, bedenker van de MKB Canvas-methode en zelf hoofddocent. Franchiseformule, dus de opleidingsinhoud loopt centraal via hem.",,webresearch,1,Ja
Maas College,Suzan de Bruijne,"Onderwijsontwikkeling plus kwaliteit in een rol, dus precies de plek waar beoordeling zit. Tweede kandidaat: Mohamed M'barki, algemeen directeur sinds 2018.",,webresearch,1,Ja
Brave Minds,Dineke van Voorthuijsen,"Letterlijk directeur onderwijs en mede-oprichter. Brave Minds opereert als MBOzaak. Tweede kandidaat: Gerke van Kooten, directeur bedrijfsvoering, maar dat is de geldkant.",,webresearch,1,Ja
Freia Groep,Ernst Eijsvogel,"Moeder van 8 opleiders (AOG, TSM, NIVE, Comenius, vanHarte&Lingsma e.a.) met maar 21 mdw op het hoofdkantoor. Operationeel directeur is de enige groepsbrede uitvoeringsrol. Tweede kandidaat: Cor Vink, sinds maart 2026 directeur strategie en externe betrekkingen (was algemeen directeur, dus let op verouderde bronnen).",,webresearch,1,Ja
AOG School of Management,Albert-Jan Postma,"Geen aparte onderwijsdirecteur: programma-inhoud ligt bij kerndocenten (hoogleraren). Directeur is dus het aanspreekpunt. Tweede kandidaat: Ilse Braams, programmamanager, als inhoudelijke ingang. Onderdeel van Freia Groep.",,webresearch,1,Ja
NIVE Opleidingen,Eline Ketelaars,"Enige directeur van een opleider met 55 mdw, geen onderwijslaag eronder zichtbaar. Onderdeel van Freia Groep.",,webresearch,1,Ja
