naam	lead_id	score	regels	bestand
Rijksuniversiteit Groningen	lead_QRnRvtAVBv8irHTT7z16S8KMbaVjZ7jLK2Ye74N6p07	?	1166	Rijksuniversiteit-Groningen.md
Rotterdam University of Applied Sciences	lead_sBQJUEcvvOsFiQ1RvvogLPX2cnpgGcs9VQVaqGI4dX8	?	1971	Rotterdam-University-of-Applied-Sciences.md
SDO Hogeschool	lead_x7fhKgAuiGrXKB0kBDfo4ryQI5Dc1f49vvwHKQRYjAq	?	41	SDO-Hogeschool.md
Salta group	lead_po3xkRo30ZD1yXiTY4kzFdJ2FaeZDqbl2hMwCEjAyg9	?	51	Salta-group.md
Schouten & Nelissen	lead_540Ek9AhopCbgftipozLW9g8VOgPsMr9l57j6uFREd8	?	45	Schouten-Nelissen.md
South Essex College of Further and Higher Education	lead_ppBPyNkLVioaRCXS7QpOOEcn6JhvaNv9HmoTYCBoghw	?	29	South-Essex-College-of-Further-and-Higher-Education.md
St Mary’s University, Twickenham	lead_Owzzg3uz1BHL7rrDpOjbEaPseGgsPn8AcNhQ2ejROIB	?	26	St-Mary-s-University-Twickenham.md
Stichting Opleidingsinstelling GGZ-VS	lead_Timq5ZS9KDvXdO8tQFmVXTFtVZb9Z8TIUkxbMgmTvzO	?	34	Stichting-Opleidingsinstelling-GGZ-VS.md
TSM Business School	lead_ReBpJ7qJSn6xNvYR4KVxEsZuahI9Cp99iIuLECghHHo	?	43	TSM-Business-School.md
TU Delft	lead_1p9Xqheg7HzHuVdjvN3G1fu484XvYNOKk353WIDEXeG	?	373	TU-Delft.md
Tio Business School	lead_8e0AjTEdlAllhdeC3AdYc2sCb0cSwfpDHbU5hUYBI3Y	?	583	Tio-Business-School.md
UADE	lead_uULf7sLlkJ678O7L2ssQUIU3RdkTdhgQS8rshpfFaUS	?	399	UADE.md
UMCG	lead_4Mh3jCQPY7E6Q20lyVoXTNQJzOsWq8Z8fD7o7m016pC	?	2001	UMCG.md
UVAC	lead_HMoaNYFJ1VFy1OYpRJAu6vxAh0OFuaxpCA4f0CgsHfM	?	302	UVAC.md
Universal Technical Institute	lead_iERmDIaqQjAukGdBOUKXU5XYUWLBlP86JcjrqRl4lh6	?	467	Universal-Technical-Institute.md
Universiteit Maastricht	lead_6fMw93YOzDbHqa3gsKhm9xiTW7P0IEWq3NQRT80F3L4	?	93	Universiteit-Maastricht.md
Universiteit van Amsterdam	lead_rgY8muw143JHQLGb0TexcRBkRSSywVWOBBE3LQDDCR8	?	145	Universiteit-van-Amsterdam.md
University of Aberdeen	lead_jrGfiUJbR2vePl0Xook5W3bOAPTW6VJTNH3szs5d44F	?	34	University-of-Aberdeen.md
University of Applied Sciences Europe (UE Amsterdam)	lead_u5ITAFTFp57oIQFkyUMSzJbv0yudCPyV0edu7ncG4qC	?	29	University-of-Applied-Sciences-Europe-UE-Amsterdam.md
University of Bath	lead_l2ddvN9RoLERu5OcsbaOlADfjw9AEYl1cQbElEJG3q1	?	39	University-of-Bath.md
University of Cambridge	lead_BMFK36bU3gpMpXjF8leTlLvSdXQmw24K0VlNX85bRjt	?	31	University-of-Cambridge.md
University of Ferrara	lead_gDH5j4Jwn9oxeuCGYmbfl6XP1gaFzkWW62zv0Wsinkv	?	426	University-of-Ferrara.md
University of Glasgow	lead_f6nFV44YQY7CCVnixkMybke90FhgTCIObClP8ynZYkY	?	43	University-of-Glasgow.md
University of Liverpool	lead_48JuQCWywryPbddmP2h2nd2gnLJuPEho9T29q4eeXmy	?	28	University-of-Liverpool.md
University of Manchester	lead_27H2vh2nsnZXUExEzG5C1ans5bg4urcVWHBYJf7sHhN	?	48	University-of-Manchester.md
University of Reading	lead_VHVrvDSThSeR3a5Q8Pv90kf8Rt2TzoUISYmuquvQYPG	?	40	University-of-Reading.md
University of Sunderland in London	lead_11RN5Uj14ozTCYkIaqhffczC0fGv9UqSuqaQPNxWIv1	?	249	University-of-Sunderland-in-London.md
University of Sussex	lead_mBc0hTglyal3Az6p7fGLsqW6mEOMbJD8usZDdsVOUW4	?	31	University-of-Sussex.md
University of nottingham	lead_w3vOdSllfJhqT4Hak5wjTbSKZCeg6SBne7wgiNdqF5b	?	84	University-of-nottingham.md
University of the Arts London	lead_TnyoLcWzyoSHq5W88HVZzGRfS8lSfA3yWMzdSWatXJh	?	31	University-of-the-Arts-London.md
UvA Minds	lead_fo6HFy6yq92eH09PW3taFbemaV5tUKYGkR78fzGNrbk	?	382	UvA-Minds.md
Variva Edu Academy	lead_3WuJa02feuBApAwBpHVgSlq8h9beiwDRifZhb0O4fYh	?	67	Variva-Edu-Academy.md
Windesheim	lead_ksWkVIR0pOiSuXUyFupcEMXKNM6xmNkbUVmb4PjL9M2	?	578	Windesheim.md
Intop Zorgsector	lead_nGNuyPWfRqvgNbh3ZnUIjPrhvusbz0cxnHmIc15nUcB	1	26	Intop-Zorgsector.md
Essenzo business school	lead_uhWmfPu5aQyuf49eCfGVJwPDQdkwvDjTp0sLtlKMDVE	1	21	Essenzo-business-school.md
EuroCollege Hogeschool	lead_U3WrZQFshThPM15bCQNMmJSRfntJa6d9ypubVHiSgF7	1	23	EuroCollege-Hogeschool.md
Amsterdam School of Real Estate	lead_NmVeNyaYY3mg2dHeucgNfPuDm2wpuToR3qSsxxSoVNh	1	22	Amsterdam-School-of-Real-Estate.md
Academica University of Applied Sciences	lead_gYN2c5Txx1IolZCLMDaD9r8OfPEBv1wb03TAFiM9wmC	1	122	Academica-University-of-Applied-Sciences.md
NOVI Hogeschool	lead_nzbIykVWwfXSkPFbiBUJSA3JaVdyGqZLvVO9YPQvQMa	1	51	NOVI-Hogeschool.md
University of Twente	lead_pduXFOGwjABHtx5aHOYMjxtVQfnKK9WkA3Vv2Kexm1f	1	25	University-of-Twente.md
Hogeschool van Amsterdam	lead_AedAoDkJ4pGpFionj1zEHrc3sOshzA0duKS0rrdqMkI	1	311	Hogeschool-van-Amsterdam.md
Habeo+ Hogeschool (voorheen Avans+)	lead_mo0NSzMGaA5uqx0E0JNAsqnOLgZ3B1WJtKLEfqLQ4Fe	1	61	Habeo-Hogeschool-voorheen-Avans.md
CMS Vocational Training	lead_QB4W3lBe5HxU9A37akXfhMH64ysjB7eskLTuqBg3b60	1	630	CMS-Vocational-Training.md
Aeres Hogeschool	lead_KGANAELH86hEwkRLVu0wf0461f7CxdJ8LKCZ9cpcy24	1	24	Aeres-Hogeschool.md
Team Academy	lead_F128Kljhfd5HAdoVVAkKKLmyA3dbbickERqtUWzTUZi	1	29	Team-Academy.md
Tilburg University	lead_oA3n1ns5ZI57r9R4095f5bKIR0ekDvLMRPjcWpHnaIC	1	48	Tilburg-University.md
Hogeschool Leiden	lead_B5XxYK2do8APdJRrzNjjqteej7H2y9Cckd0SJqFWO1h	1	2026	Hogeschool-Leiden.md
Edge Hill University	lead_WaiXHWpLpKuRzC7JgFcNPpvzBJpUrm6QkL4KzkJkzKM	1	76	Edge-Hill-University.md
Saxion	lead_waNc3INa7vMhYtFfeAiqbDsZjdWxjHRLGqlYeRFbdW2	1	25	Saxion.md
Vrije Universiteit Amsterdam	lead_J0cDaaBwbFUnjuMPxvL9mNr1xVC3d1WkmysZqPK5Fxl	1	23	Vrije-Universiteit-Amsterdam.md
Newcastle University	lead_pXItSN8gXY3AG1BRw3il80XT2QtVVGfdF90vV0mxf0Z	1	21	Newcastle-University.md
Guildhall School of Music & Drama	lead_Gz8Oh7g4liCOfsKnoI1O36FwslG2Q8I0zPex8lolplF	1	32	Guildhall-School-of-Music-Drama.md
University of York	lead_3XALk5bll8CZYzi84zZcuNUMaonjhuRqVoxoG5i06Az	1	24	University-of-York.md
The University of Law	lead_HDu4f9BO7lVrtIh8wfI0zR3SWdsLYLbBnVDcMQrVDP6	1	24	The-University-of-Law.md
University for the Creative Arts	lead_3Iz0XOUbalzYJfaIYDp7fMtKG1Sk8jNIui5Xs7dkdrQ	1	24	University-for-the-Creative-Arts.md
Swansea University	lead_heUBWzAmNMsKXa44Tz6j7YTCsviSiCu9DYyaYRoGGuS	1	24	Swansea-University.md
University of Exeter	lead_g7sJVndEoWki5azi9snudh1s563AZctExY4LyVs9niv	1	23	University-of-Exeter.md
Anglia Ruskin University	lead_bkdTJX3ljGEDZMjO3BUgOrHQR7kJDK9GMdXhvJXHw7P	1	24	Anglia-Ruskin-University.md
Harper Adams University	lead_5sZMKoMGGxijapAX39VWyHNM22cUGG2WzVZhTNbVN2y	1	24	Harper-Adams-University.md
University of Warwick	lead_TZaPhrDGu9vSBnSJCHJCDh7YHvF7C8BCCCrleBIkb4N	1	24	University-of-Warwick.md
London School of Economics and Political Science	lead_9gFU7NBUteetAacUzbABiFInhNMJUCSGuQXwIAmH6Fh	1	24	London-School-of-Economics-and-Political-Science.md
Middlesex University	lead_AnAoXq8Gi7ipNtuAmYfS4x43JTwX9MgfSOs02dapiEx	1	24	Middlesex-University.md
University of Brighton	lead_CNpkcGfNlC7VzFdkswdZFcZSYhxchfjVuIKboepSUIV	1	24	University-of-Brighton.md
Loughborough University	lead_oXP3tpPuyOCR2Nc1aRrci8X9bJP7oBl33i2Z3e9cGcM	1	24	Loughborough-University.md
Thrive	lead_DrLE6BfvE3FWRZqy3C2OBNkIfEPdyCw5nxYLRGZRm8B	1	26	Thrive.md
UCL	lead_Cn5tOJR7xrcUrLxNVse6Jt4vwQsyEHX6VqFBSX5pwEv	1	79	UCL.md
MK College	lead_Ci5j1nHu6SYvuLSbK09ytbxmrFWN1Axu3h1sXOkrgCa	1	46	MK-College.md
MLA College	lead_VbUaJIOxIsoamA5fzS8fKYRNskKetk38vWiHZD3UzjD	1	25	MLA-College.md
NCOI	lead_Ay8eMthuv0TyHl7jVhk844RMOVmMQ9xjsciW2yvothw	1	23	NCOI.md
