rang,naam,lerenden_diploma,lerenden_per_jaar,omvang_niveau,omvang_url,lerenden_diploma_bron,omvang_citaat
11,SRH Haarlem University of Applied Sciences,200,200,hard,https://publicaties.nvao.net/prd/AV-2855_20250409_Rapport_Report%20B%20Creative%20Media%20SRH.pdf,https://publicaties.nvao.net/prd/AV-2855_20250409_Rapport_Report%20B%20Creative%20Media%20SRH.pdf,"""The Haarlem Campus offers three bachelor's degrees and one Master's programme for a very international group of 200+ students."" (NVAO-rapport Creative Media, 09-04-2025). Ook: ""The small groups of students (currently 10-15)"". Alleen degree-programma's, dus diploma = totaal. NB: 20.000 studenten sla"
12,University of Applied Sciences Europe,183,,geschat,https://publicaties.nvao.net/4dee20df93dda_rapport%20InterCollege%20hbo-ba%20Business%20Administration.pdf,https://publicaties.nvao.net/4dee20df93dda_rapport%20InterCollege%20hbo-ba%20Business%20Administration.pdf,"Enige harde getal komt uit het NVAO-rapport van voorganger InterCollege Business School: ""De voltijdopleiding BBA wordt aangeboden op 4 locaties. (...) Vestiging Utrecht 83 / Vestiging Den Haag 48 / Vestiging Rotterdam 23 / Vestiging Amsterdam 29 / Totaal aantal studenten in 2009-2010 183"", met de a"
13,Media en Maatschappij,145,145,afgeleid,https://www.nomc.nl/,https://www.nomc.nl/,"'Al meer dan 2750 Nationaal MediaCoaches opgeleid in Nederland, Belgie, Sint Maarten en Curacao' plus 'Sinds 2007'. Rekensom: 2750 gediplomeerden over 19 jaar = circa 145 per jaar. Traject duurt 3 tot 6 maanden en eindigt met het Nationaal MediaCoach Certificaat, dus certificaatgericht maar kort."
14,Schrijversvakschool,100,600,hard,https://www.schrijversvakschool.nl/schrijversvakschool/uitgangspunten,https://www.schrijversvakschool.nl/schrijversvakschool/uitgangspunten,"'De Schrijversvakschool telt ongeveer 100 studenten in de opleiding en verwelkomt jaarlijks circa 500 cursisten.' De 100 zitten in de vierjarige deeltijdopleiding met beoordeeld schrijfwerk, de 500 zijn korte-cursusdeelnemers over 8 steden. Totaal 100 + 500 = 600; dat totaal staat zelf niet zo op de"
15,De Voshaar,100,100,afgeleid,https://www.kiesmbo.nl/scholen/de-voshaar/de-voshaar,https://www.kiesmbo.nl/scholen/de-voshaar/de-voshaar,"Geen gepubliceerd aantal. KiesMBO: ""We hebben 2 opleidingen voor je op de school De Voshaar"" (Sport- en bewegingsleider n3, 2 jaar; Trainer-coach/Instructeur n4, 3 jaar). Rekensom: 5 leerjaren x 1 klas x ca. 20 studenten = ca. 100. LET OP: klasgrootte 20 is een aanname, niet uit een bron. Alles dipl"
16,Kronenburgh Beroepsopleidingen,100,100,afgeleid,https://www.particulieronderwijsnederland.nl/school/kronenburgh-business-college/,https://www.particulieronderwijsnederland.nl/school/kronenburgh-business-college/,"'100 studenten' als bullet onder Karakteristiek op de directory particulieronderwijsnederland.nl. Niet uit eigen bron: de eigen site, kiesmbo.nl en roc.nl noemen geen enkel studentenaantal. Het hele aanbod is diplomagericht (MBO3, MBO4, Pre University, 3-jarige Bachelor), dus diploma-aantal valt sam"
17,Huisdier Kennis Instituut,100,,afgeleid,https://huisdierkennis.nl/site/opleiding/vakopleiding-hondentrimmen/,https://huisdierkennis.nl/site/opleiding/vakopleiding-hondentrimmen/,"Geen gepubliceerd cursistenaantal. Enige harde volumecijfer: ""Het Huisdier Kennis Instituut heeft zon 100 aangesloten praktijkadressen door het hele land."" Rekensom: elke cursist van de Vakopleiding Hondentrimmen moet minimaal 80 dagen (640 uur) stage lopen op zon praktijkadres, dus 100 adressen x c"
18,Fiscaal Studie- en documentatie Centrum,90,90,afgeleid,https://fsdc.nl/,https://fsdc.nl/,"Geen aantallen op de site, geen jaarverslag. Hard is alleen het aantal locaties: ""Op 6 lokaties in Nederland en i.s.m. Habeo+"" en ""FISCALE VAKKENNIS OP HBO NIVEAU BINNEN 10 MAANDEN"". Rekensom: 6 locaties x 1 jaargroep (opleiding duurt 10 maanden, dus 1 cyclus per jaar) x 15 deelnemers = ca. 90 per j"
19,NSO-CNA Leiderschapsacademie,86,,afgeleid,https://www.nso-cna.nl/,https://www.nso-cna.nl/,"'3.016+ Schoolleiders opgeleid' en 'Al ruim 35 jaar ontwikkelen wij schoolleiderschap en management' (homepage). Rekensom: 3.016 over 35 jaar = circa 86 per jaar; recente jaargangen liggen waarschijnlijk hoger dan dat gemiddelde. Aanbod is grotendeels diplomagericht (Master Educational Leadership 2,"
20,Welkin Kinesiologie College,80,80,afgeleid,https://www.welkinkinesiologiecollege.nl/beroepsopleiding/,https://www.welkinkinesiologiecollege.nl/beroepsopleiding/,"Geen totaalaantal gepubliceerd. Rekensom op drie letterlijke citaten van de eigen site: ""Kleinschalig en persoonlijk onderwijs (8-12 studenten per groep)"", ""De opleiding start twee keer per jaar"" en ""De opleiding duurt vier jaar"". Dus 2 startgroepen x gemiddeld 10 = ca. 20 instroom per jaar x 4 jaar"
21,Gelders Opleidingsinstituut,80,,afgeleid,https://geldersopleidingsinstituut.nl/sites/default/files/2026-02/jaarverslag_2025.pdf,https://geldersopleidingsinstituut.nl/sites/default/files/2026-02/jaarverslag_2025.pdf,"Jaarverslag 2025 noemt geen absoluut deelnemersaantal, wel: 'Het Gelders Opleidingsinstituut b.v. verzorgt de volgende 4 CREBO (en branche) erkende opleidingen (Allround) Schoonheidsspecialist en (Medisch) Pedicure.' / 'Dit wordt voornamelijk veroorzaakt door de kleine aantallen deelnemers per oplei"
22,NIA Academie,80,,afgeleid,https://www.nia-academie.nl/interieuropleiding,https://www.nia-academie.nl/interieuropleiding,"Geen aantal gepubliceerd; site zegt alleen ""honderden interieurontwerpers en -stylisten opgeleid"" (cumulatief). Rekensom: 8 leslocaties (Amsterdam Bos en Lommer, Amsterdam Loods 6, Amsterdam Zuid, Arnhem, Eindhoven, Nieuwegein, Rotterdam, Zwolle) x 1 startgroep per jaar x groepsgrootte 10 (midden va"
23,Bedrijfskunde Opleiding Utrecht,70,,afgeleid,https://bedrijfskundeopleidingutrecht.nl/opleiding-bedrijfskunde/,https://bedrijfskundeopleidingutrecht.nl/opleiding-bedrijfskunde/,"""De groepen bestaan uit gemiddeld 12 tot 16 studenten."" + ""Je kunt vijf keer per jaar starten (januari, maart, mei, september en november)."" Rekensom: 5 startmomenten x 1 groep x gem. 14 studenten = ~70 per jaar. Ondergrens: draaien er per startmoment 2-3 groepen over de vijf post-hbo opleidingen, d"
24,BeeldCentrum,70,,afgeleid,https://beeldcentrum.nl/fotovakopleiding/,https://beeldcentrum.nl/fotovakopleiding/,"'Onze groepen zijn niet groter dan 10 personen, zodat je intensief begeleid wordt.' Op dezelfde pagina staan 7 startmomenten in Breda en Zoetermeer. Rekensom: 7 startgroepen x max 10 personen = circa 70 nieuwe fotovakstudenten per jaar. De opleiding duurt 25 lesdagen over anderhalf jaar, dus er lope"
25,BFA Business and Fashion Academy,50,50,afgeleid,https://www.businessfashionacademy.nl/en/fashion-business-annual-program-bfa,https://www.businessfashionacademy.nl/en/fashion-business-annual-program-bfa,"Programmapagina, letterlijk: ""BFA ONLY HAS 25 PLACES AVAILABLE PER LOCATION PER YEAR."" Rekensom: 2 Nederlandse locaties (Eindhoven en Utrecht) x 25 = 50 lerenden per jaar in het jaarprogramma. Antwerpen is een derde locatie maar valt buiten Nederland (met Antwerpen erbij ca. 75). Plekken worden echt"
26,Intop Zorgsector,50,,hard,https://www.vzi.nl/actueel/nieuws/2022-11-28-vernieuwing-bij-intop-zorgsector,https://www.vzi.nl/actueel/nieuws/2022-11-28-vernieuwing-bij-intop-zorgsector,Louis van Dam in een interview op de site van branchevereniging VZI (nov 2022): 'MTAB is een specialistische opleiding waar elk jaar 50-75 deelnemers mee starten. Dit kleine aantal maakt het budget beperkt.' Ondergrens 50 vastgelegd. Dekt alleen de MTAB-lijn (MTA plus MTB); MTC en de cursussen elekt
27,Academie Hypnos,42,42,hard,https://hypnos.nl/hoe-scoort-academie-hypnos/,https://hypnos.nl/hoe-scoort-academie-hypnos/,"Eigen site, jaarlijkse evaluatie: ""Maar liefst 41 van de 42 studenten geven aan dat de opleiding voldoet aan hun verwachtingen."" Enige aanbod is de vierjarige opleiding Hypnotherapie, dus 42 = alle vier jaargangen samen, ca. 10-11 instroom per jaar."
28,Kennisinstituut Complementaire Zorg,28,,afgeleid,https://www.kicozo.info/jaaropleiding-of-masterclasses-aromazorg/,https://www.kicozo.info/jaaropleiding-of-masterclasses-aromazorg/,"Domein is kicozo.info. Geen totaalaantal op de site, /over-kicozo/ geeft 404, geen jaarverslag. Diplomagericht traject is de Jaaropleiding AromaZorg: ""Voor jouw afstuderen schrijf je een eindwerk (scriptie)"" en ""Diplomering na examen (incl. casuistiek eindwerk) of deelname certificaat"". Rekensom: ""M"
29,Netherlands Business Academy,20,10,hard,https://publicaties.nvao.net/prd/AV-1491_20230215_Rapport_Rapport%20HVdS_MBA_NLBA.2022.v2.1.pdf,https://publicaties.nvao.net/prd/AV-1491_20230215_Rapport_Rapport%20HVdS_MBA_NLBA.2022.v2.1.pdf,"NVAO-beoordelingsrapport MBA (29 juni 2022): ""Het gaat om een kleinschalige opleiding; de instroom in oktober 2021 bedroeg 9 studenten."" en ""In oktober 2021 zijn er 9 studenten ingestroomd, in maart 2022 een."" Dus 10 instromers in 2021-2022; bij een nominale duur van 2 jaar zijn dat ca. 20 tegelijk "
30,Haka MBO B.V.,17,17,hard,https://haka-mbo.nl/wp-content/uploads/2024/10/HaKa-Jaarverslag-2023.pdf,https://haka-mbo.nl/wp-content/uploads/2024/10/HaKa-Jaarverslag-2023.pdf,"Jaarverslag 2023, ""3.3 Studentaantallen 2023 (totaal)"": zes crebo-opleidingen met respectievelijk 1, -, 1, 1, 2 en 12 studenten, ""Totaal 17"". En ""3.4 Gediplomeerden ... Totaal 3"". Alleen erkende mbo-diplomatrajecten maatschappelijke zorg, dus diploma = totaal."
31,Stichting Insurance Business Academy,15,15,afgeleid,https://www.insurancebusinessacademy.nl/informatie/,https://www.insurancebusinessacademy.nl/informatie/,"'De groep bestaat maximaal uit 15 deelnemers. vol = vol.' plus 'In 15 lesdagen, verdeeld over acht maanden'. Rekensom: 1 jaargang per jaar x max 15 deelnemers = max 15 lerenden per jaar. Er is geen ander aanbod naast deze ene post-hbo opleiding (7 EC, portfolio en essay), dus beide getallen vallen s"
32,BusinessCoach Nederland,12,12,afgeleid,https://www.businesscoach.nl/aansluiten/register-opleiding-businesscoach/,https://www.businesscoach.nl/aansluiten/register-opleiding-businesscoach/,"Post HBO Register Business Coach: 18 dagen over een jaar, maximaal 12 deelnemers per groep, eerstvolgende start 23 september 2026. Rekensom: 1 startmoment per jaar x max 12 = circa 12 diplomagerichte lerenden per jaar."
33,KIKI Training & Coaching,,10000,hard,https://kiki-s.nl/,,"'Een kleine greep uit de ruim 450 organisaties en meer dan 10.000 deelnemers die jaarlijks voor KIKI kiezen.' Het grootste deel is korte training en incompany. Mbo KIKI draait wel echte diplomagerichte mbo 2/3/4-trajecten van 6 tot 18 maanden, maar publiceert daar nergens studentenaantallen van, dus"
34,Universiteit Nyenrode B.V.,,7500,hard,https://www.nyenrode.nl/nieuws/n/nyenrode-versterkt-fundament-voor-duurzame-groei-met-solide-cijfers,,"""Met ruim 7.500 studenten en deelnemers per jaar biedt Nyenrode een breed portfolio"" (jaarcijfers 2024-2025; inclusief korte executive-programma's, degree-deel niet uitgesplitst)"
35,Certify360 EdTech Group,,3600,hard,https://cs-opleidingen.nl/actueel/persbericht,,"""leidt CS Opleidingen jaarlijks meer dan 3600 studenten op"" (alleen dochter CS Opleidingen; groep publiceert zelf geen totaal, statistiekblokken op certify360.com staan op 0. Zusterlabel Lindenhaeghe is groter maar draait vooral korte Wft/PE-bijscholing en examens)"
36,Mooivakonderwijs,,1500,hard,https://mooivakonderwijs.nl/over-ons/,,"Eigen over-ons-pagina: ""1500+ cursisten per jaar"", ""90+ Verschillende soorten vakscholing"", ""30+ Vakspecialisten"". Geen uitsplitsing naar diplomatrajecten, en dat is hier het knelpunt: het overgrote deel zit in korte praktijkcursussen (Snelcursus metselen 5 praktijkdagen, Kluscursus voor beginners 1"
37,Kans Kwadraat,,1400,afgeleid,https://www.kinderopvangtotaal.nl/kans%C2%B2/,,"""Kans2 heeft inmiddels ruim 12.000 pmers opgeleid in het werken met babys."" (directeur Vincent Polman in vakmedia-artikel 11-03-2024). Afleiding per jaar: 12.000 sinds de verplichte IKK-babyscholing (2018) = ~1.500/jaar over 8 jaar, conservatief ~1.200-1.500. Staat NIET op hun eigen site (over-ons, "
38,OntwerpAcademie,,400,afgeleid,https://www.ontwerpacademie.nl/over-ons,,"""deze centraal gelegen plek - midden in het groene hart van Nederland - bood de kans om door te groeien naar 400 studenten per jaar"" (groeiambitie bij de verhuizing in 2019, niet de huidige stand; inmiddels vier locaties, dus eerder ondergrens)"
39,Beeckestijn Business School,,350,afgeleid,https://www.beeckestijn.org/,,"Homepage: ""13.000+ professionals opgeleid"" (cumulatief, geen jaarcijfer). Rekensom: 13.000 gedeeld door looptijd = ca. 350/jaar bij oprichting 1989, ca. 620/jaar vanaf 2005. Ondergrens 350 ingevuld. Oprichtingsjaar niet op eigen site geverifieerd. Aanbod loopt van eendaagse trainingen tot post-hbo v"
40,Business School Notenboom,,175,hard,discovery-gesprek,,"175 studenten, opgegeven door directeur onderwijs Barbara Suijkerbuijk aan Dante (2026-08-20). Let op: een schatting van 2026-09-02 op basis van 150 medewerkers x klasgrootte kwam op 1.200-1.800 uit, maar die proxy weegt niet op tegen een getal uit de mond van hun eigen directeur onderwijs."
41,Beroepsopleiding Personenschade,,,onbekend,,,"Gezocht, niets gevonden. Site, opleidingspagina's, docentenpagina en twee branchenieuwsartikelen (ANP-persportaal, Letselschade.NU) geopend: geen deelnemersaantal en geen groepsgrootte. Enige getal in het nieuws is ""22 grondleggers"", dat zijn de oprichtende partijen. Structuur is wel diplomagericht "
42,CIVAS,,,onbekend,https://www.civas.nl/over-civas/wat-doet-civas/,,"Gezocht op eigen site (over-civas, wat-doet-civas), Springest, oo.nl, NRTO/CRKBO. Geen enkel cursisten- of studentenaantal gepubliceerd. Wel kwalitatief, eigen site: ""het grootste en meest professionele opleidingsinstituut in zijn soort"" en ""meer dan 100 opleidingen"". Afleiden kan niet: thuisstudie "
43,Coniche,,,onbekend,,,
44,De Jeugdzorgacademie BV,,,onbekend,,,"Gezocht, niets gevonden. dejeugdzorgacademie.nl geopend: geen deelnemersaantallen, geen groepsgroottes, geen jaarverslag. Enige harde getal is het aanbod (""alle 87 cursussen""). Overwegend losse geaccrediteerde trainingen voor beroepsregistratie, met een paar langere routes (modulaire opleiding tot s"
45,Educared Erkend Opleiden B.V.,,,onbekend,,,
46,Esoterra,,,geschat,https://www.esoterra.nl/,,"""1000+ cursisten"" (homepage-banner, direct naast ""Sinds 1998""). De bron zegt NIET of dit per jaar is of cumulatief sinds 1998; gelezen als cumulatief, daarom geen jaargetal ingevuld. Aanbod splitst in 8 opleidingen met eindexamen (o.a. Massagetherapeut, 3 jaar) tegenover een lange lijst cursussen va"
47,GO-College,,,onbekend,,,"Gezocht, niets gevonden. gocollege.nl homepage en over-ons geopend: geen studentaantallen, klassen of gediplomeerden. Rijkserkend particulier mbo (BRIN 30VR), BBL niveau 3 en 4 in elektrotechniek, installatietechniek en werktuigbouwkunde. Niet-bekostigde instellingen staan niet in de DUO-deelnemersb"
48,GOmotive,,,onbekend,https://gomotive.nl/,,"Gezocht op eigen site, KiesMBO, LinkedIn, MBO Automotive. Nergens een studentaantal. Wel hard: KiesMBO ""We hebben 3 opleidingen voor je op de school GOmotive"" en eigen site ""Vanuit het hele land komen (beginnende) bedrijfswagenmonteurs naar onze school in Duiven"". Geen klasgrootte of aantal groepen "
49,hbo A&A,,,geschat,https://nl.linkedin.com/company/hboaa,,"Geen studentaantal gepubliceerd. Studiekeuze123 toont letterlijk ""Studenten: -"" en ""Door de onderwijsinstelling is er voor dit onderdeel geen informatie aangeleverd"". NVAO-besluitpagina bevat geen rapport met aantallen; eigen site geeft 403 op subpaginas. Enige proxy: LinkedIn-band ""2-10 medewerkers"
50,Home of Impact,,,onbekend,,,
51,HTI Amsterdam,,,onbekend,https://www.hti-opleidingen.nl/,,"Gezocht, geen geverifieerd getal. Eigen site: ""Het HTI biedt al meer dan 85 jaar praktijkgerichte technische opleidingen aan voor mensen die zich verder willen ontwikkelen in de bouw."" /over-hti geeft 404. SPOOR, NIET GEVERIFIEERD: de zin ""Jaarlijks studeren zon 150 mensen aan het HTI en is er een c"
52,i4healthcare B.V.,,,onbekend,,,
53,Instituut Cronesteyn BV,,,onbekend,https://www.springest.nl/instituut-cronesteyn,,"Eigen site blokkeert ophalen structureel met 403 op alle paginas (homepage, over-ons, opleidingen), dus geen enkele pagina echt kunnen openen en daarom niets van hun site geciteerd. Springest toont ""Producten (2)"" (Medisch secretaresse, Tandartsassistent) zonder deelnemersaantallen. Geen LinkedIn-be"
54,King nascholing,,,onbekend,https://www.kingnascholing.nl/,,"""King nascholing is een van de grootste post academische cursusaanbieders"" (geen getal, dus niet bruikbaar als omvangcijfer). Homepage, over-ons en FAQ geopend; cursusagenda is volledig JS-gerenderd, dus ook geen afleiding mogelijk. Ze splitsen zelf 12 ""Opleidingen"" (o.a. tweejarige Cognitieve gedra"
55,Libereaux,,,onbekend,https://www.libereaux.nl/,,"Niets hards vindbaar. Gezocht: libereaux.nl homepage, /onze-trajecten/, /over-ons/ (404), LinkedIn-bedrijfspagina, zoekopdrachten op kandidaataantallen. Geen jaarverslag, geen feiten-en-cijfers, geen aantal afgegeven ervaringscertificaten. Enige proxy is de LinkedIn-band ""11 - 50 medewerkers"" plus """
56,Nederlands Compliance Instituut,,,onbekend,,,
57,Nevi,,,onbekend,https://www.nevi.nl/over-nevi,,"CORRECTIE op de eerdere invoer. De eerder vastgelegde 10.000 is geen lerendenaantal: over-nevi zegt 'Community van meer dan 10.000 professionals', dat zijn leden. Daarnaast 'Meer dan 50 korte trainingen, masterclasses en leergangen' en '14 opleidingen gevonden' in het opleidingenoverzicht, allemaal "
58,NewCare College,,,onbekend,,,"Gezocht, niets gevonden. Homepage, onderwijs, opleidingen, over-ons en locaties geopend: geen studentaantal, geen jaarverslag. Opgericht 2021, een diplomatraject (Verzorgende IG mbo-3, BBL 24 mnd en verkort 18 mnd) plus losse mbo-certificaten, twee leslocaties (Zoetermeer, Nieuwegein)."
59,Opleidingen Land van Rouw,,,onbekend,https://www.landvanrouw.nl/,,"Geen enkel aantal gepubliceerd. Opleidingenpagina, Over ons, Wortels en groei en alumnipagina alle vier geopend: alleen jaartallen (2003 start, 2008 oprichting, 2010 accreditatie, eind 2024 overdracht aan Marcel van Zanten en Roza Boer), geen deelnemersaantallen. Alumnipagina zegt alleen ""Land van R"
60,OVD Opleidingen,,,onbekend,,,
61,Ponsioen Opleiding en Advies,,,onbekend,,,"Gezocht, niets gevonden. Eigen site noemt geen cijfers, opleidingenpagina geeft 404, geen jaarverslag. LinkedIn geeft alleen de band en ""Opleiden van vakbekwame monteurs in de ondergrondse infratechniek"", drie locaties (Helmond, Tholen, Barendrecht). Naast het BBL-mbo vooral korte certificaten (BEI/"
62,Scholings Trainings en Opleidings Centrum STOC B.V.,,,onbekend,https://www.stoc.nl/,,"Geen enkel aantal op de site. Homepage heeft als enige getal ""Al meer dan 20 jaar!"" (jaren actief, geen omvang). Pagina Opleiding en Training beschrijft alleen de breedte: ""Van een eendaagse training tot een volledige branche/en CREBO-erkende opleiding"". TKMST-vestigingspagina bevat geen studentenaa"
63,Scobe Academy,,,onbekend,https://scobe.nl/over-scobe,,"Gezocht, niets gevonden. ""Scobe Academy is al twintig jaar gespecialiseerd in professionele opleidingen en masterclasses op het gebied van gebiedsontwikkeling, planeconomie, Omgevingswet, vastgoedrecht, maatschappelijk vastgoed en duurzame gebiedsontwikkeling"" - geen aantallen. De site meldt zelf da"
64,Sound Education,,,onbekend,https://www.soundeducation.nl/,,"Geen deelnemersaantal en geen klasgrootte gepubliceerd, dus ook niet af te leiden. Wel hard op de site: eenjarige parttime opleiding, een startmoment per jaar (""Looptijd 23-09-2026 tot 22-09-2027""), locatie Utrecht, ""meer dan 20 specialisten"" als docenten, en ""Niet voor niets is iedere Sound Educati"
65,SPV B.V.,,,onbekend,,,
66,Threewise,,,onbekend,,,"Gezocht, niets gevonden. Geen deelnemersaantal op de site, over-ons geeft 404. Zwaartepunt ligt bij diplomagerichte mbo-trajecten (Helpende Zorg en Welzijn, Helpende Plus, Verzorgende IG, Voedingsassistent, Werkbegeleider, Dieetkok in de Zorg) plus kortere trainingen. Model is grotendeels incompany "
67,U-Consultancy,,,onbekend,,,
68,VanDoen Academie,,,onbekend,,,
69,VAPRO,,,onbekend,,,"Gezocht, niets gevonden. vapro.nl homepage en over-ons geopend, allebei puur kwalitatief: geen deelnemers- of examenaantal, geen jaarverslag. De gevraagde splitsing exameninstelling-volume vs opleidingsvolume is dus niet te maken. Beide stromen bestaan wel: VAPRO leidt zelf op (Basisoperator t/m D, "
70,Vastgoed Business School,,,onbekend,https://www.vastgoedbs.nl/vastgoed-business-school/,,"Geen enkel deelnemersaantal gevonden. Eigen site (homepage en /vastgoed-business-school/) noemt alleen een reviewcijfer, geen aantallen, geen oprichtingsjaar, geen jaarverslag. LinkedIn-schoolpagina blokkeert ophalen (HTTP 999). Wel hard op Springest: ""ongeveer 15 personen"" per les en 126 producten "
71,VBOT,,,onbekend,,,
72,Winc Academy,,,onbekend,,,
73,Boerma Instituut,,,onbekend,https://boerma.nl/product/internationale-vakopleiding-bloemschikken/,,"Gezocht, niets gevonden. Homepage, teampagina, sitemap en de productpagina van de Internationale Vakopleiding geopend: geen deelnemersaantal, geen klasgrootte, geen aantal groepen per jaar. Wel bekend: de INT-opleiding heeft 2 tot 3 startmomenten per jaar van 4 weken. Zonder groepsgrootte zou elke r"
74,Dutch Dance Music Academy,,,onbekend,,,
75,Sound Academy Arnhem,,,onbekend,https://www.soundacademyarnhem.nl/opleiding-studio-techniek/,,"Gezocht, niets gevonden. Opleidingspagina volledig gelezen: geen studentaantal, geen klasgrootte-getal, geen aantal startmomenten. Alleen ""je krijgt persoonlijk les in kleine groepjes"" en ""De opleiding duurt ruim 7 maanden met 2 lesmomenten per week"". Let op: ze geven expliciet geen diploma - ""Dit i"
