lead,lead_id,studenten,deal_value,bron_niveau,bron,citaat,datum_bron,gecheckt_op,opmerking
Goldsmiths - University of London,lead_jzWkdkF23SUSKcR3dtJwNXzypLDcPHGD6gPkjklxs4f,7910,280000,officieel,https://www.hesa.ac.uk/news/27-01-2026/sb273-higher-education-student-statistics,"Goldsmiths University of London had 7,910 total students in 2024/25, comprising 4,490 undergraduates and 3,420 postgraduates.",2024/25,2026-09-26,"HESA via zoekresultaat, pagina geblokkeerd: verifiëren met volledige toegang. Opportunity nu: oppo_0Gy4Gv8AqZUWmPTMLxL8Eo3au9r1lpPZov5WjKVkLSc: 60000 eenmalig (Qualified)."
Bristol University,lead_biyXkZujM0zGhT46gCqx9ugaTVPcQA9qkg4UCu5rdfK,32435,1200000,officieel,https://www.hesa.ac.uk/news/27-01-2026/sb273-higher-education-student-statistics,"The University of Bristol had 32,435 total students in 2024/25, comprising 23,865 undergraduates and 8,570 postgraduates.",2024/25,2026-09-26,"HESA via zoekresultaat, pagina geblokkeerd: verifiëren met volledige toegang. Opportunity nu: oppo_SC16GEEh5QceFwPVET0G422ckrnH0nWeWpz7CvXDmJ0: 200000 eenmalig (Qualified)."
Queens University Belfast,lead_JTuoI0ZPS4E4T2JfjA0ameCdAFSFNdc6fXvDUyxicur,25000,900000,eigen tekst,acti_8LmptLWX95seIyykiNxXrPVXlz05Wd96ji25wxYXnbM (notitie 30-04),(prestigeuze universiteit top 200 wereldwijd en 25.000 studenten),2026-04-30,2026-09-26,"Eigen schatting; HESA 2024/25 zegt 25.080 (0,3% verschil), dus hij telt."
CMS Vocational Training,lead_QB4W3lBe5HxU9A37akXfhMH64ysjB7eskLTuqBg3b60,,,leeg,,"Alleen ""1000's of apprentices"" op de eigen site (afgerond, cumulatief); Ofsted-rapport mei 2026 noemt geen aantal.",,2026-09-26,"Gezocht: repo, Close sinds 24-09, Gmail cmsvoc.co.uk, WebSearch (Ofsted, eigen site)."
Business School Notenboom,lead_4ZpmfrLKEVu0B6AXU6ndN9aGYhfl50JoOXG5m5nhRXM,175,6300,transcript,acti_GgoEainHQ1Yxf2UAoIamUvUiZnNKGRJ0oF8Z22cMSbI (meeting 21-08); vraag in mail acti_jiQlCKUDVefTLEVVMDvhhVzEmXR0cw5nGNpQer8oFJJ,"Barbara: ""175 studenten, dat klopt? Ja."" (op Dantes vraag ""Hoeveel studenten hebben jullie bij Notenboom?"")",2026-08-21,2026-09-26,Onder de drempel van 300. 120 is alleen het afstudeercohort. BSN nam Notenboom in 2025 over. Opportunity nu: oppo_9exEsgoebeja97rIitvrVoyXu871tdxQd6KtiKYLCeG: 10000 per jaar (Scoping).
Business school Nederland,lead_lFz9aSPR6J44Mno6glfYsreey7rYBP0rbETGm9s3uqZ,,,leeg,,"Alleen onze eigen prijsstaffels (500, 12.000) en afgeronde websitecijfers (""over 500 students every year"", ""10,000+ alumni"").",,2026-09-26,"Gezocht: Close (transcript 10-09, README, kopie), Gmail bsn.eu, WebSearch (bsn.eu, DUO/CRKBO)."
UADE,lead_uULf7sLlkJ678O7L2ssQUIU3RdkTdhgQS8rshpfFaUS,,,leeg,,"Close heeft alleen onze prijsstaffels; online alleen afgeronde rankingcijfers (37.000 tot 42.000) en Wikidata 43.403 (2021, niet te controleren).",,2026-09-26,"Gezocht: Close, Gmail uade.edu.ar, WebSearch. uade.edu.ar en wikipedia.org geblokkeerd; opnieuw met volledige toegang."
Noordhoff,lead_QUReRPzpB1XwirLwiUxObexNNirurglK57kHo6aactK,,,leeg,,Geen school: uitgever die een AI-feedbacklaag zoekt onder Hogeschooltaal (opportunity-notitie).,,2026-09-26,Geen studentenaantal van toepassing.
UMCG,lead_4Mh3jCQPY7E6Q20lyVoXTNQJzOsWq8Z8fD7o7m016pC,,,leeg,,Deal loopt via het Wenckebach Instituut (consultvoering Geneeskunde); niemand van UMCG noemde een aantal.,,2026-09-26,"Gezocht: Close, Gmail umcg.nl, WebSearch. RUG-studenten bewust niet gebruikt."
Hogeschool Leiden,lead_B5XxYK2do8APdJRrzNjjqteej7H2y9Cckd0SJqFWO1h,,,leeg,,"Alleen ""ruim 13.500"" (Vereniging Hogescholen, afgerond) en instroom 3.423 (geen totaal).",,2026-09-26,"Gezocht: repo, kopie, Close sinds 24-09, Gmail hsleiden.nl, WebSearch DUO/jaarverslag. Opnieuw met volledige toegang (DUO)."
TU Delft,lead_1p9Xqheg7HzHuVdjvN3G1fu484XvYNOKk353WIDEXeG,,,leeg,,"Alleen afgeronde of tegenstrijdige cijfers (25.000 tot 28.000, jaar onduidelijk) en instroom 3.617/3.728.",,2026-09-26,"Gezocht: GTM/Accounts/tu-delft, kopie, Close sinds 24-09, Gmail tudelft.nl, WebSearch DUO/jaarverslag. Opnieuw met volledige toegang (DUO)."
NHL Stenden,lead_KTEiys0MwwzCBNsnF6O3A1rPOAKIBiCawXH7uh8dzbb,,,leeg,,"Alleen ""ongeveer 20.000"" en ""meer dan 25.000"" (afgerond); 8.950 zijn NSE-respondenten.",,2026-09-26,"Gezocht: repo, kopie, Close sinds 24-09, Gmail nhlstenden.com, WebSearch DUO/jaarverslag. Opnieuw met volledige toegang (DUO)."
Academica University of Applied Sciences,lead_gYN2c5Txx1IolZCLMDaD9r8OfPEBv1wb03TAFiM9wmC,350,13000,mail,Gmail 1a0d387918747fb2 / Close acti_rexSKa4LC0LuT9ybP9OEv1Kf2sae9ocGsb6gdxXeh5e,"Ik reken met 350 studenten, het midden van de 300 tot 400 die je noemde.",2026-09-24,2026-09-26,"Voorlopig: Marjolein noemde 300 tot 400 in de discovery van 24-09, het exacte aantal komt uiterlijk 1 oktober. Opportunity nu: oppo_wB7vGXXADY5dno0Jwp7R5oPappw388AV8PcQtZC6IxV: 12600 per jaar (Discovery)."
ICM opleidingen,lead_1bVj0k4v6YprIVys2iLnXN4IqoDupnJJqYHjMoIIR94,,,leeg,,"Alleen ""vele duizenden deelnemers"" (eigen ROI-document, vaag) en medewerkersaantallen.",,2026-09-26,"Gezocht: GTM/Accounts/icm-opleidingen, kopie, orgs.csv, Close, Gmail icm.nl, WebSearch."
