Naam,Website,Plaats,Adres,Postcode,Lid sinds,Sectoren,Regios,Marktgroepen
Ardis Organisatie Ontwikkeling,www.ardis.nl,DEN HAAG,Nieuwe Parklaan 105,2587 BP,2017-05-15,,,
Arezoo Beauty College ,www.arezoo.nl,Hoogvliet,Koddeweg 1,3194 DH,2023-01-02,,,
Arminius Selectie Trainingscentrum,https://arminius-stc.com,Zwolle,Carlbenzstraat 5B,8013 NH,2023-03-27,,,
ARQ IVP,https://ivptraining.arq.org/,DIEMEN,Nienoord 5,1112 XE,2010-10-01,,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Art of Colors,www.artofcolors.nl,Amsterdam ,Singel 432 (zie opmerking),1017 AV,2022-02-14,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Art2Change BV,www.art2change.nl,Noordwijk aan Zee,Trompstraat 1 d2,2201 KP,2023-03-27,,,
Artemis Academie,www.artemisacademie.nl,Amsterdam,Marnixstraat 317,1016 TB,2011-09-01,,,
ARTRA,www.artra.nl,ARNHEM,"Utrechtseweg 310, gebouw B42", 6812 AR,2019-04-10,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
ASPD Scholing,www.aspdscholing.nl,WIJNANDSRADE,Hellebroekerweg 41,6363 AB,2018-01-01,,,
Atrivé,https://www.atrive.nl/training-en-coaching,UTRECHT,Maliesingel 38,3581 BK,2018-03-05,,,
AutoNiveau BV,www.autoniveau.nl,NIEUWEGEIN,Structuurbaan 2,3439 MB,2022-03-14,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Auxilium Academy,www.auxiliumacademy.nl,Lippenhuizen,'t Corso 33,8408 HW,2022-03-14,,,
Avicenna Academie voor Leiderschap,www.academievoorleiderschap.nl,Deventer,Zutphenseweg 55,7418 AH,2019-07-29,,,
Avondopleidingen SKO,https://www.avondopleidingensko.nl ,Vught,Titus Brandsmalaan 1,5262 BS,2021-12-20,,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
AVS Professionalisering,www.avs.nl/academie,UTRECHT,Herenstraat 35,3512 KB,2011-03-10,,,
B-Mind,https://www.bmind.nl/,Eindhoven,Strausslaan 1,5653 AJ,2022-04-18,,,
B2B opleidingen B.V.,www.b2b-opleidingen.nl,Helmond,Basstraat 48,5702 SH,2026-06-03,"Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg; (Zakelijke) dienstverlening; Agrarisch en groen; Autobranche; Beveiliging; Coaching; Cultuur, sport en recreatie; Cybersecurity; Economisch- administratief; EVC; Exameninstituten; Financiële dienstverlening; Groothandel; Industrie – Techniek; IT; Klantcontact; Klimaat; Laaggeletterdheid; Learning & Development; Leiderschap; Online leren; Overheid; Persoonlijke effectiviteit; Schoonmaak; Sociaal werk, jeugdzorg en kinderopvang; Talen - NT2; Thuis zorgverpleging en/of medisch en/of alternatieve zorg; Transport en logistiek",Drenthe; Flevoland; Groningen; Overijssel; Zeeland,Marktgroep Learning & Development; Marktgroep VCA en SOG; Opleiders actief in de techniek
Babel,www.babel.nl,Utrecht,Nieuwegracht 94,3512 LX,2014-02-14,,,
Bart de Pau Language Courses BV,https://dutchsummerschool.nl,Westerbork,Gagelmaat 4,9431 KT,2022-04-18,,,
BartN Trainingen BV,www.bartn.nl,Hillegom,Haarlemmerstraat 5,2182HA,2019-07-01,,,
Basten B.V.,www.bastentrainingen.nl,Eindhoven,Daumierstraat 5,5623 EV,2019-08-27,,,
BAYZ Analytics B.V.,www.bayz.nl,Amsterdam ,Barbara Strozzilaan 201,1083 HN ,2023-01-02,,,
Bedrijfskunde Opleiding Utrecht,https://bedrijfskundeopleidingutrecht.nl/,UTRECHT,Koningsbergerstraat 9,3531 AJ,2020-03-10,,,
Beeckestijn Business School,https://www.beeckestijn.org/,Leusden,Leusderend 30,3832 RC,2020-09-29,,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
BeeldCentrum,www.beeldcentrum.nl,Breda ,Charles Petitweg 37A9,4827 HJ ,2022-05-31,,,
Behavior Change Group - Academy,https://behaviorchange.group/academy/,NIJMEGEN,Tweede Walstraat 2,6511 LV,2018-05-11,,,
Belangenbehartiging Opleidingen Bouwnijverheid B.V. (BOB B.V.),https://kob.nl,Zoetermeer,Zilverstraat 69,2718 RP,2024-10-30,,,
benVitaal Academy,www.benvitaal.nl,Beek,Kelmonderstraat 55,6191 RD,2020-08-12,,,
Berghauser Pont Academy B.V.,https://www.berghauserpontacademy.nl/,Amsterdam,Danzigerkade 53,1013 AP,2022-04-18,,,
Bergsma en de Boer Bij- en Nascholing,https://www.bergsmaendeboer.nl/,LEEUWARDEN,Huizumerlaan 16,8934 BH,2018-05-03,,,
Berlitz Schools of Languages BV,www.berlitz.nl,AMSTERDAM,Weerdestein 205,1083 GN,2018-05-03,,,
Beroepsopleiding Makelaars B.V. (Handelsnaam Opleidingsinstituut Vastgoedprofessionals),www.ovgp.nl,Den Haag,Bezuidenhoutseweg 12,2594 AV,2023-03-01,,,
Beroepsstudie.nl,www.beroepsstudie.nl,Delft,Kleveringweg 23,2616 LZ,2023-03-27,,,
Bestuursacademie Nederland Opleidingen B.V.,www.bestuursacademie.nl,HILVERSUM,Marathon 7,1213 PD,2014-04-14,,,
Betonvereniging,www.betonvereniging.nl,Gouda,Tielweg 3,2803 PK,2024-10-14,,,
BewegenAlsMedicijn B.V. (vh Fysio Physics B.V.),www.fysiotherapieopleiding.nl,IJsselstein,Linnaeusweg 31,3401 MS,2022-03-29,,,
Bilt en Bahadoer Opleidingsinstituut B.V. h.o.d.n. Verkeersschool Koos van der Bilt,www.koosvanderbilt.nl,Rotterdam ,Thurledeweg 113,3044 ER,2022-07-27,,,
Bit Academy B.V.,www.bit-academy.nl,Amsterdam,Science Park 608,1098XH,2021-01-21,,,
Blauw B.V.,www.blauwbv.nl,SOEST,Veldweg 6-A,3764 CP,2015-02-11,,,
Bliss Kunst Training Coaching,www.kunstatelierbliss.nl,Wanssum,Meerlosebaan 43,5861 CP,2022-02-11,,,
BLOM opleidingen,www.blomopleidingen.nl,Hengelo,Adam Smithstraat 41,7559 SW,2020-09-30,"Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg; (Zakelijke) dienstverlening; Agrarisch en groen; Autobranche; Beveiliging; Coaching; Cultuur, sport en recreatie; Cybersecurity; Economisch- administratief; EVC; Exameninstituten; Financiële dienstverlening; Groothandel; Industrie – Techniek; IT; Klantcontact; Klimaat; Laaggeletterdheid; Learning & Development; Leiderschap; Online leren; Overheid; Persoonlijke effectiviteit; Schoonmaak; Sociaal werk, jeugdzorg en kinderopvang; Talen - NT2; Thuis zorgverpleging en/of medisch en/of alternatieve zorg; Transport en logistiek",Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Blue Road Academy BV,https://blueroadacademy.com,Amsterdam,"Herengracht 495, Unit 1.2",1017 BT,2025-03-13,,,
Boerma Instituut International Floral Design School Holland,www.boerma.nl,AALSMEER,Legmeerdijk 227,1432 KA,2010-08-25,,,
Bogaers Taleninstituut,www.bogaerstalen.nl,TILBURG,Groenstraat 139-155,5021 LL,2009-06-01,,,
Bon Courage,www.boncourage.eu,BAARN,Nassaulaan 12,3743 CC,2018-09-25,,,
Bongers & Partners BV,www.bongers-partners.nl,Noordwijk,'sGravendijcksweg 60,2201 CZ ,2023-01-02,,,
Boulevard Magenta,www.boulevardmagenta.nl,Laag-Soeren,Cruyshoevelaan 28,6957 AT ,2022-07-27,,,
Bouwradius Training & Advies B.V.,www.bouwradius.nl,Hazerswoude-Dorp,Engelandleaan 74,2391PN,2022-03-22,,,
Bouwstarters,www.bouwmensen.nl/vestigingen/apeldoorn,Apeldoorn,Kanaal Noord 260,7322 AE,2021-06-10,,,
Brain Balance Opleidingen BV,https://brainbalanceinstituut.com/,Rotterdam ,Theodoor Colenbranderhof 3,3059 LS ,2022-11-23,,,
Brain Blocks Group,www.brainblocks.com,NIJMEGEN,Kerkenbos 10-79 LL,6564 BB,2019-11-25,,,
Brain Box Mediatraining BV,https://www.brain-box.nl/,HILVERSUM,Mozartlaan 27c,1217 CM,2018-05-18,,,
Braint Academy B.V.,www.braint.nl,CASTRICUM,Oude Parklaan 111,1901 ZZ,2020-08-10,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Brave Minds,www.brave-minds.nl,Utrecht ,Lucasbolwerk 7,3512 EG ,2022-03-14,,,
Breincentrum B.V.,https://www.breincentrum.com/,Wijchen,Zuiderpoort 56,6605 HN,2022-04-18,,,
Bright Alley B.V.,www.brightalley.nl,UTRECHT,Herculesplein 80,3584 AA,2014-01-01,,,
Bron Trainingen,www.brontrainingen.nl,Zwolle,Punterweg 20 (toevoeging 1 06),8042 PB,2022-05-10,,,
BTR Trainingen,www.btrtrainingen.nl,Hengelo,Demmersweg 110,7556 BN,2022-03-22,,,
BTSG,www.btsg.nl,ZWOLLE,Branderweg 3a,8042 PD,2010-03-02,,,
Buddywise (valt onder NHA),www.buddywise.nl,PANNINGEN,Industrieterrein 37,5981 NK,2021-03-01,,,
Bureau Bewezen Effect B.V.,www.bewezeneffect.nl,Rotterdam ,Elsbes 36,3069 LN,2022-08-22,,,
Bureau HTM | Adapt,www.bureauhtm.nl,Zwolle,Dr. van Deenweg 162,8025 BM,2023-03-30,,,
Bureau Personal Development B.V. ,https://www.bpdtraining.nl ,Zoetermeer ,Topaas 8,2719 VD,2023-01-30,,,
Bureau STERK,www.bureausterk.nl,CULEMBORG,Godfried Bomansstraat 7,4103 WR,2018-11-01,,,
Bureau Tromp BV,www.bureautromp.nl,Utrecht ,Orteliuslaan 850,3528 BB,2022-03-14,,,
Bureau VRIS,www.bureauvris.nl,Geesteren,Respelhoek 3,7274 EL,2021-03-17,,,
Bureau Zuidema,www.zuidema.nl,LEUSDEN,Olmenlaan 4,3833 AV,2015-01-01,,,
Buro Holland,www.buroholland.nl,Deventer,Diepenveenseweg 159,7413 AP,2021-06-10,,,
Business Mine B.V.,https://businessmine.co,Zwolle,Paxtonstraat 3N | Unit A5999,8031 RP,2023-05-09,,,
Business School Nederland,www.bsn.eu,Buren,Herenstraat 25,4116 BK,2005-03-14,,,
Business School Notenboom,www.notenboom.nl,EINDHOVEN,Beukenlaan 145,5616 VD,2018-01-16,,,
BusinessCoach Nederland B.V. (vh Zakelijk Succes B.V.),www.businesscoach.nl,De Meern,Boteyken 193-11,3454 PD,2021-01-03,,,
BVO Opleidingen B.V. (Boertien Vergouwen Overduin),www.bvo.nl,HILVERSUM,Marathon 7,1213 PD,2013-01-01,,,
C.I.C.K.,https://cick.nl/,Zwolle,Burg. van Roijensingel 10a,8011 CT,2019-06-03,,,
Calibris Advies,htpps://www.calibrisadvies.nl,HOUTEN,De Molen 88,3995 AX,2015-11-19,,,
Capabel Hogeschool,www.capabelhogeschool.nl,UTRECHT,Australiëlaan 14,3526 AB,2004-05-01,,,
Capabel Onderwijs Groep,www.capabel.nl,UTRECHT,Australiëlaan 14,3526 AB,2012-05-22,,,
Capabel PRO,www.capabel.nl,Utrecht,Australielaan 14-16,3526 AB,1995-04-24,,,
Capabel taal,https://www.capabeltaal.nl/,Utrecht,Australiëlaan 14-16,3526 AB,2012-05-22,,,
Capricorn Taallessen en Vertalingen,Https://capricorntaallessen.com,Rotterdam,Tapuitstraat 5b,3083 WC,2026-06-17,,,
Caprilli Training BV,www.caprillicoaching.nl,BARNEVELD,Ruitenbeekweg 127,3771 SK,2020-08-10,,,
Carrièrepoort/True Taste,www.carrierepoort.nl,Rotterdam,Van der Takstraat 28, 3071 LL,2021-11-08,,,
CB Education Group (55 Creative Business School),www.55creativebusinessschool.nl,HILVERSUM,Witte Kruislaan 55a,1217 AM,2021-12-13,,,
CBT,www.cbtresultaatuitopleiden.nl,Velp,Arnhemsestraatweg 362,6881 NK,2021-08-06,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,,
CCB B.V. (Samenvoeging BIJDA en Cursuscentrum Groen),www.ccb.nl,Arnhem,Otterloseweg 2D2,6816 TJ,2021-09-14,,,
Centrum voor Conflicthantering,https://www.cvc.nl/,Haarlem,Nieuwe Gracht 3,2011 NB,2022-05-03,,,
Centrum voor Effectieve Intuïtie,www.effectieveintuitie.nl,HAARLEM,van 't Hofftraat 120,2014 RK,2018-08-24,,,
Centrum voor Paardencoaching,www.centrumvoorpaardencoaching.nl,Velp,Mozartlaan 14,6881 PJ,2022-10-24,,,
Certiforce C.I. B.V.,https://certiforce.nl,Doetinchem,Hanzestraat 19,7006 RH,2025-01-08,,,
Cito,www.cito.nl,ARNHEM,Amsterdamseweg 13,6814 CM,2004-01-01,,,
CIVA B.V.,www.civabv.nl,Brunssum,Rumpenerstraat 9,6443 CA,2022-03-11,,,
CIVAS,www.civas.nl,HAARLEM,Spaarne 13,2011 CC,2010-06-22,,,
Coach+Result B.V. ,https://www.coachresult.nl ,Ulvenhout ,Anneville-Laan 33,4851 CA,2023-01-30,,,
Code Gorilla,www.codegorilla.nl,Groningen,Laan Corpus den Hoorn 106,9728 JR,2022-03-11,,,
Coincide BV,www.coincide.nl,AMSTERDAM,Argonautenstraat 29,1076 KK,2020-06-25,,,
College voor Integrale Geneeswijzen BV ,https://collegeintegralegeneeswijzen.nl/,Amsterdam,Contactweg 145-153,1014 BJ,2023-01-30,,,
Combo Emonomy BV,www.combo.nl,Utrecht,Catharijnesteeg 4 ,3512 NZ,2022-02-07,,,
Communicatiehelden,www.communicatiehelden.nl,Amersfoort,Ruimtevaart 22-24,3824  MX,2022-05-25,,,
Competence Factory,https://www.competencefactory.nl/,UTRECHT,Stationsplein 90,3511 ED ,2018-04-23,,,
Competence Training Institute B.V.,www.sn.nl,Zaltbommel,Van Heemstraweg-West 5,5301PA,2023-02-20,,,
Competence Trainingen en Opleidingen B.V.,www.sn.nl,Zaltbommel,Van Heemstraweg-West 5,5301PA,2023-02-20,,,
Computrain Opleidingen B.V.,www.computrain.nl,HILVERSUM,Marathon 7,1213 PD,2018-03-23,,,
Conrado,www.conrado.nl,AMSTERDAM,Papaverweg 42/b,1032 KJ,2023-01-02,,,
Construction Media B.V.,www.constructionmedia.nl,Waalre,Van Dijklaan 5,5581 WG,2016-05-18,,,
Continue Services VOF,https://www.continue-ct.nl,Schimmert,Nieuwstraat 11B,6333AN,2022-05-03,,,
Contractgroep Inholland B.V.,www.inhollandacademy.nl,ALKMAAR,Bergerweg 200,1817 MN,2010-11-16,,,
Coöperatie Schoonderwoerd en Partners,https://schoonderwoerd.nl/,Utrecht,Park Oog in Al 1,3533 HE,2021-11-15,,,
Coöperatie Scillz UA,http://www.scillz.nl/contact.html,ZEIST,Socrateslaan 22,3707 GL,2017-04-10,,,
Croan Training en Coaching BV,www.croan.nl,EINDHOVEN,Frederiklaan 10e,5616 NH,2019-07-29,,,
CS Opleidingen,https://www.cs-opleidingen.nl/?gclid=CjwKCAjwtfqKBhBoEiwAZuesiATL7fga0NjsE-rqkcB0nQaUg0Ng56sEIy1BXT-Xszxtbcfs_XuWFxoCyY8QAvD_BwE,Arnhem,Meester B.M. Teldersstraat 3,6842 CT,2021-11-29,,,
CTC Talent,https://ctctalent.nl,Veenendaal,Wiltonstraat 2a,3905 KW,2025-05-14,,,
Cumela opleiding & training,www.cumela.nl,Nijkerk,Nijverheidsstraat 13,3861RJ,2021-11-29,,,
Dagnall Taleninstituut,www.dagnall.nl,ASSEN,Industrieweg 22,9403 AA,2012-01-01,,,
Danner & Danner,www.dannerendanner.nl,HILVERSUM,"Gebouw Noorderhaeve, Noorderweg 68",1221 AB,2019-01-01,,,
Data Science Partners,https://datasciencepartners.nl,Hilversum,Larenseweg 216,1223 AB,2022-02-21,,,
De Academies B.V.,www.de-academies.nl,Ridderkerk,Kerkweg 128,2985 AW,2022-03-14,,,
De Baak,www.debaak.nl,DRIEBERGEN,De Horst 1,3971 KR,2025-02-25,,,
De Berekuyl B.V.,www.deberekuylacademy.nl,Hierden ,Molenweg 4 ,3849 RM,2023-01-30,,,
De Bewustzijnsfabriek,https://debewustzijnsfabriek.nl/,,,,2026-05-21,,,
De Corporatie Academie B.V.,https://www.decorporatie-academie.nl,Nijkerk,Berencamperweg 8,3861 MC,2024-03-28,,,
De Corporatiestrateeg,www.corporatiestrateeg.nl,NIJMEGEN,Graafseweg 274 (unit 3.07b),6532ZV,2018-09-25,,,
De Groot LPMW Lasinstituut,www.lasinstituut.nl,Breda,Weidehek 24 ,4824 AS,2022-03-28,,,
De Kleine Tiki,www.dekleinetiki.nl,Breda ,Langendijk 87,4801 BV,2022-05-30,,,
De Laat Kenniscentrum,www.delaatkenniscentrum.nl,Eindhoven,Daalakkersweg 10,5641 JA,2021-01-21,,,
De Nederlandse Academie voor Psychotherapie,https://www.academie-psychotherapie.nl,Amsterdam,Klaprozenweg 123,1033 NN,2023-05-09,Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
De Taaltrainer,https://detaaltrainer.nl/,,,,2026-04-14,,,
De Trainingsacteur Academie,www.trainingsacteur-academie.nl,Markelo,Plasdijk 2B,7475 TD,2022-02-14,,,
De VerkeersAcademie,www.deverkeersacademie.nl,Nieuwegein,Newtonbaan 2,3439 NK,2021-01-01,,,
De Vrije Taal,www.devrijetaal.nl,Alkmaar,Comeniusstraat 6,1817 MS,2023-11-02,,,
de Werff,www.dewerff.net,Ruurlo,Christinalaan 1,7261CB,2022-01-10,,,
De Yogaschool,www.yogaschool.nl,Naarden,Lonnekersspoorlaan 88,7523 JG,2022-05-17,,,
Debatrix,www.debatrix.com,Rotterdam,Westersingel 109,3015 LD,2022-03-08,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Deloitte Academy,https://www.deloitte.com/gr/en/about/deloitte-academy.html,ROTTERDAM,Wilhelminakade 1,3072 AP,2016-03-01,,,
DELTA Safety Training,www.deltasafetytrainingen.com,Rotterdam,Geyssendorfferweg 47,3088 GJ,2021-11-02,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Deltion Business,www.deltion.nl,ZWOLLE,Mozartlaan 15,8031 AA,2019-02-06,,,
Dental Best College BV,www.dentalbestcollege.nl,Deventer (Colmschate),Koggeschip 212,7429 BG,2025-05-26,,,
Dental Best Learning,www.dentalbestcollege.nl,Deventer (Colmschate),Koggeschip 212,7429 BG,2026-02-19,,,
Dental Best Practice BV,www.dentalbestpractice.nl,Deventer (Colmschate),Koggeschip 212,7429 BG,2022-03-08,,,
Dental Product Promotions,www.dentalbestcollege.nl,Deventer (Colmschate),Koggeschip 212,7429 BG,2026-02-19,,,
Dentallect (onderdeel van BSL),www.bsl.nl,Utrecht,Varrolaan 114,3584BW,2012-11-19,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
DesignThinkers Academy,www.designthinkers.nl,Amsterdam,Nieuwe Leliestraat 13,1015 SH,2022-04-04,,,
Detex Opleidingen,www.detex.nl,DOORN,Postbus 183,3940 AD,2022-05-12,,,
DeZorgacademy,www.dezorgacademy.nl,Zeist ,Driebergseweg 16C,3708 JB,2022-09-26,,,
Dialogue Academy BV,www.kyden.com,Hilversum,Oude Amersfoortseweg 125,1212 AA,2016-04-28,,,
Digi Surfer BV,https://digisurfer.nl,Amsterdam,Oostenburgermiddenstraat 636,1018 LL,2023-03-27,,,
Digidog B.V.,www.digidog.nl,MELICK,Peysstraat 87,6074 HM,2022-06-13,,,
Dirksen Opleidingen,www.dirksen.nl,ELST,Nijverheidsweg 21,6662 NG,2024-12-12,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
DOC Nederland,www.doc.nl,DOETINCHEM,"Gildenstraat, 27",7005 BL,2022-01-10,,,
Docendo,www.docendo.nl,Houten ,Elzenkade 1-3,3992 AD,2022-08-31,,,
DogVision bv,https://www.dogvision.nl,Ede,Zandlaan 29,6717 LN,2022-05-03,,,
DOOR Training & Coaching,www.doortraining.nl,ROTTERDAM,Marten Meesweg 8,3068 AV,2013-01-01,,,
Dream Support,www.dreamsupport.nl,AMSTERDAM,Bataviastraat 24,1095 ET,2022-06-22,,,
Drone Flight Academy B.V.,www.droneflightacademy.eu,Katwijk,Wassenaarseweg 75,2223 LA,2022-03-28,,,
Dräger Nederland BV,www.draeger-academy.nl,ZOETERMEER,Huygensstraat 3,2721 LT,2016-07-01,,,
Dutch Dental Academy,https://dutchdentalacademy.nl,Gorinchem,Arkelseo Onderweg 61,4206 AG,2024-11-18,,,
Dutch Human Development Academy B.V.,https://dutchhumandevelopmentacademy.nl,Hilversum,Johannes Gerardtsweg 115,1222 PP,2023-05-17,,,
Duthler Associates,www.duthler.nl,DEN HAAG,Frankenslag 137,2582 HH,2017-10-24,,,
DWM Trainingen,www.dwmtrainingen.nl,Wemeldinge,Dorpsstraat 38,4424 CX,2021-11-02,,,
Dé Codeerschool,https://codeerschool.nl/,,,,2026-04-14,,,
E-learning Training,www.elearningtraining.nl,DEN HAAG,Lange Vijverberg 9,2513 AC,2017-02-17,,,
E-WISE Nederland, www.pe-academy.nl,Utrecht,Janssoniuslaan 40,3528 AJ,2021-08-06,,,
E-WISE/CME-online v.o.f.,www.cme-online.nl,UTRECHT,Janssoniuslaan 40,3528 AJ,2014-08-05,,,
EBC Taleninstituut,www.ebc.nl,BERGEN OP ZOOM,Keldermanslaan 3, 4611 AL,2009-06-01,,,
EchoXpert,www.echoxpert.nl,AMSTERDAM,Oeverpad 300,1068 PJ,2019-05-29,,,
Echt Nederlands,www.echtnederlands.nu,DEN HAAG,Calandstraat 12,2521 AG,2019-03-01,,,
Edin B.V.,www.edin.nl,Maarsbergen,Ambachtsweg 4e,3953 BZ,2010-08-25,,,
Edu-Dutch Academy B.V.,https://edu-dutch.nl/,,,,2026-06-18,,,
Edu4u,www.edu4u.nl,Amsterdam,Asingaborg 82,1082 SK,2022-02-04,,,
Educared Erkend Opleiden B.V.,www.educared.nl,Hengelo,Jan Tinbergenstraat 156,7559 SP,2024-02-22,,,
Education360 B.V.,lindenhaeghe.nl,BILTHOVEN,Rembrandtlaan 1B,3723 BG,2018-05-02,,,
EduCenter Opleidingen,www.educenteropleidingen.nl,WOUDENBERG,Voskuilerweg 49b,3931 MV,2013-10-10,,,
Edufit,www.edufit.nl,GOUDA,Graaf Florisweg 30, 2805 AL,2012-10-01,,,
Edumia B.V.,https://www.edumia.nl,'s-Hertogenbosch,Hambakenwetering 1,5231 DD,2021-01-07,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Edupet,www.edupet.nl,Lelystad,Bronsweg 11-A,8211 AL,2023-07-20,,,
EDUQ Opleidingen,www.eduq.nl,Haarlem,Waarderweg 19 ,2031 BN,2021-11-02,,,
Edux,www.edux.nl,Ulvenhout,Tolweg 11 ,4851SJ,2022-02-21,,,
EFTiN,www.eftin.nl,Eindhoven,Jacob Reviuslaan 5,5644 TP,2022-08-31,,,
Elan Training BV,www.elantraining.nl,Oisterwijk,Moergestelseweg 16,5062 JW,2022-02-21,,,
