Aanbieder,Beoordeelt zelf werk van lerenden,Bewijs (citaat + bron),Particulier,Bron particulier,Moeder / groep,Categorie
EuroCollege Hogeschool,Ja,"NVAO-rapport hbo-ba International Hotel and Hospitality Management: ""De beoordeling vindt plaats door de begeleider en een tweede beoordelaar, die onafhankelijk van elkaar tot een oordeel komen."" en ""Als de marge tussen de twee beoordelaars meer is dan 0,5, wijst de examencommissie een derde (externe) beoordelaar aan."" — https://publicaties.nvao.net/5c9b4ff5ab502_007584%20rapport%20EuroCollege%20hbo-ba%20International%20Hotel%20and%20Hospitality%20Management.pdf",Ja,NVAO-geaccrediteerde particuliere hogeschool,Zelfstandig (EuroCollege Beheer B.V.),Privaat hbo en mbo
Fiscaal Studie- en documentatie Centrum (FSDC),Ja,"""Je sluit de modules af met een landelijk georganiseerd schriftelijk examen. Wanneer je alle examens binnen een termijn van 3 jaar hebt behaald, ontvang je het diploma."" Let op: geen scriptie vereist, dus het nakijkvolume zit in de schriftelijke module-examens — https://fsdc.nl/examen-fiscaal-adviseur/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Fiscale hbo-opleider; examens samen met hogescholen
Freia Groep,Ja,"Moeder van 10 opleidingsmerken; onderliggende merken beoordelen zelf (zie AOG en NIVE). ""De opleidingsbedrijven van Freia Holding b.v. zijn AOG School of Management, Comenius, Emmius School voor werk en zingeving, Instituut voor Sport- en PrestatiePsychologie, TSM Business School, TSM Europe, Horizon | The backbone company, Van Harte & Lingsma en NIVE Opleidingen"" — https://freia.nl/algemene-voorwaarden/",Ja,"Freia Holding b.v., 30 jaar, voortgekomen uit de Rijksuniversiteit Groningen",Freia Groep (moeder),"Opleidingsgroep hoogopgeleide professionals; ingang voor een groepsbrede deal, smaak 2. Bewezen nakijkvolume bij AOG, TSM en NIVE"
Global School for Entrepreneurship,Ja,"""The final assignment takes place according to the four-eyes principle, by the student's mentor and an independent examiner."" — https://publicaties.nvao.net/prd/AV-1050_20221006_Rapport_Panel%20report%20HBO-ba%20Business%20Psychology,%20Global%20School%20for%20Entrepreneurship%20(AV-1050).pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (8 opleidingen),Zelfstandig,"Engelstalige bachelors ondernemerschap en business psychology, internationale instroom"
GOmotive,Ja,"""Je theorie- en praktijkopdrachten, documentatie, resultaten (...) staan overzichtelijk in je eigen account""; rijkserkend mbo-diploma op alle niveaus — https://gomotive.nl/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Crebo-erkende particuliere mbo-opleider bedrijfsautotechniek
Grotius Academie,Ja,"""een deelnemer heeft een gecorrigeerd gemiddelde huiswerkcijfer van minimaal een 6.0"" (https://www.grotiusacademie.nl/veelgestelde-vragen/) en ""alle huiswerkopdrachten op tijd te hebben ingeleverd"" (https://www.grotiusacademie.nl/over-grotius/)",Ja,"Kantoren en deelnemers betalen, kosten per opleiding vermeld — zelfde FAQ",Zelfstandig,Postacademische juridische specialisatieopleidingen (9 maanden) voor juristen met minimaal 3 jaar ervaring
Habeo+ Hogeschool (voorheen Avans+),Ja,"""De afstudeerproducten worden door twee examinatoren beoordeeld."" — https://publicaties.nvao.net/prd/AV-1436_20230414_Rapport_Avans%20Rapport%20M%20Pipeline%20Technology.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (45 opleidingen),Zelfstandig,"Post-hbo en masters voor professionals: techniek, zorg, management"
hbo A&A (Hogeschool voor de Accountancy),Ja,"""De toetsing van de onderdelen betreffen hogeschooltentamens"" — https://www.hboaa.nl/opleidingen/bedrijfsadministratie-en-accountancy",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Particuliere hogeschool accountancy en bedrijfsadministratie, eigen tentamens"
Hogeschool Dirksen,Ja,"""Na een goede beoordeling voor je eindopdracht en scriptie ontvang je je hbo-diploma."" plus eigen examens: ""Deze examens vinden iedere maand plaats in het trainingscentrum in Elst"" — https://hogeschooldirksen.nl/praktische-zaken/examens/",Ja,"NVAO-geaccrediteerde particuliere hogeschool, NRTO-lid",Zelfstandig,"Hbo techniek en ICT (bachelor Technische Informatica, Ad Industriele Automatisering); eigen examenbureau, scriptie plus eindopdracht"
Hogeschool Markus Verbeek Praehep,Ja,"""Bij de beoordeling van de eindwerken van de Bachelor hanteert de opleiding het vierogenprincipe."" — https://publicaties.nvao.net/prd/AV-2797_20250129_Rapport_240926%20Beoordelingsrapport%20Ad%20_%20B%20Accountancy%20MVP.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (283 opleidingen),Salta Group / NCOI,Grootste particuliere deeltijd-hogeschool na NCOI; finance en accountancy voor werkenden
Hogeschool Scheidegger,Ja,"NVAO-rapport hbo-ba Sociaal Pedagogische Hulpverlening: ""Examinatoren zijn door NCOI Groep zorgvuldig geselecteerd, geinstrueerd en getraind in de beoordelingssystematiek van Scheidegger en hun inzet wordt geevalueerd aan de hand van door hen beoordeeld werk."" plus ""Afstemming over de beoordeling van werkstukken vindt periodiek plaats tijdens kalibreersessies, waaraan het kernteam en examinatoren deelnemen, onder verantwoordelijkheid van de examencommissie."" — https://publicaties.nvao.net/5f0c330275ee3_007389%20advies%20Scheidegger%20hbo-ba%20Sociaal%20Pedagogische%20Hulpverlening.pdf",Ja,NVAO-geaccrediteerde particuliere hogeschool,Salta Group / NCOI Groep,Hbo-bachelor SPH; werkt volledig op het toetssysteem van NCOI Groep. Nam studenten van NHA over. Deal loopt via Salta
Hogeschool voor Toegepaste Filosofie (HTF),Ja,"NVAO-rapport hbo-ba Toegepast Filosoof (30-11-2019): ""Door de examencommissie benoemde examinatoren van de HTF zijn verplicht om bij het ontwerpen van hun toetsen gebruik te maken van de toetsmatrijs en toetsmatrix."" en ""In zogenaamde kalibreersessies wordt door de examencommissie de kwaliteit van de afstudeerwerken en de realisatie van de algemene en beroepsspecifieke competenties beoordeeld."" — https://publicaties.nvao.net/5ebd0e6d14817_008671%20advies%20HTF%20hbo-ba%20Toegepast%20Filosoof.pdf",Ja,NVAO-geaccrediteerde particuliere hogeschool,Zelfstandig,"Deeltijd hbo-bachelor en master toegepaste filosofie, Utrecht; filosofie is per definitie schrijfwerk, hoge kans op Ja"
Home of Impact,Ja,"""Aan het einde van de leergang werk je aan een praktijkgerichte afstudeeropdracht. (...) Na succesvolle afronding ontvang je het erkende post-hbo certificaat Leergang Ontwikkeling Mens en Organisatie."" — https://www.homeofimpact.nl/opleidingen/leergang-ontwikkeling",Ja,NRTO-lid,Zelfstandig,"Post-hbo leergang mens en organisatie, eigen afstudeeropdracht en certificaat; bewijs is opleidingspagina"
IBHS,Ja,"OER art. definitie Examinator: ""Degene die conform artikel 7.12c WHW belast is met het ontwikkelen en/of afnemen en/of beoordelen van tentamens en is benoemd door de examencommissie"" — https://www.ibhs.nl/wp-content/uploads/2025/11/OER-SDO-Hogeschool-onderwijs-en-examenregeling-2025-2026-BBA-voltijd-20251029.pdf",Ja,"NRTO-lid, particuliere aanbieder",Zit vast aan SDO Hogeschool,"Particuliere hbo business school Amsterdam; voert de OER van SDO, dus een gesprek kan beide dekken"
ICM Opleidingen en Trainingen,Ja,"""Tijdens de opleiding maakt u een praktijkopdracht. Indien u de opdracht met een positief resultaat afsluit, ontvangt u het officiele ICM Verandermanagement - diploma."" en bij andere opleidingen ""Tijdens iedere module schrijft u een praktijkopdracht."" Herkansing tegen gereduceerd tarief — https://www.icm.nl/over-icm/kwaliteit/",Onbekend,Nog te checken,Zelfstandig,"[AL IN CLOSE - Actief, niet koud benaderen] Private opleider/trainer"
Inholland Academy (Contractgroep Inholland),Ja,"""een certificaat of (post-hbo) diploma van Inholland Academy"", met eigen examencommissie — https://www.inholland.nl/academy/over-inholland-academy/certificering-en-kwaliteit/",Deels,Private tak van een publiek bekostigde hogeschool; inkoop kan langs de moeder lopen,Hogeschool Inholland (bekostigd),"[AL IN CLOSE - Nurturing, niet koud benaderen] Commerciele tak van bekostigde hogeschool Inholland; geen koude outreach, Inholland staat al in Close"
Intop Zorgsector,Ja,"""De onafhankelijke examencommissie Medische Techniek houdt toezicht op een correcte gang van zaken met betrekking tot het voorbereiden, uitvoeren en beoordelen van de examens Medische Technologie MTA, MTB en MTC."" — https://intop.nl/over-intop/examencommissie/",Ja,NRTO-lid via Eduro Groep,Eduro Groep,"Opleider medisch technici voor ziekenhuizen (MTA/MTB/MTC); eigen examencommissie, curriculum in opdracht van de VZI"
Islamic University of Applied Sciences Rotterdam,Ja,"""Vervolgens dient elk hoofdstuk zowel door de scriptiebegeleider als de leescommissie beoordeeld en goedgekeurd te worden."" — https://publicaties.nvao.net/ACCR_010714_30GW-70131_Rapport_2022.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (2 opleidingen),Zelfstandig,Kleine hogeschool islamitische theologie en geestelijke verzorging
IVA Driebergen / IVA Business School,Ja,"""De IVA past bij alle opleidingen een helder systeem van toetsen, tentamens en examens toe. Het voordeel daarvan is dat studenten, docenten en ouders steeds een goed zicht op de studievorderingen hebben."" — https://www.iva-driebergen.nl/ ; NVAO-geaccrediteerde Hogere Managementopleiding voor de Mobiliteitsbranche (https://publicaties.nvao.net/ACCR_008543_27WU-34935_Hogere_Managementopleiding_voor_de_Mobiliteitsbranche_Rapport_2019.pdf)",Ja,"Privaat mbo en hbo, overgenomen door AcadeMedia (Zweden)",AcadeMedia (Zweden),Privaat mbo en hbo automotive/nautisch/transport
Kader Academy,Ja,"""Iedere module wordt afgerond met een kennistoets of een opdracht."" en ""De opleiding wordt afgerond met een begeleid scriptietraject."" — https://kader-academy.nl/veiligheid/hvk-opleiding-hogere-veiligheidskunde",Ja,Investering EUR 18.995 excl. btw — zelfde pagina,Zelfstandig,Particuliere opleider veiligheidskunde (MVK/HVK) voor werkende veiligheidskundigen
Kans Kwadraat,Ja,"""Eindopdracht maken en inleveren"" en ""Aanwezigheid is verplicht voor certificering"" — https://www.kanskwadraat.nl/trainingen/opleiding-pedagogiek-0-tot-13-jaar-voor-zijinstromers-kinderopvang/",Ja,NRTO-lid,Zelfstandig,"Kinderopvang-opleider, FCB-erkend certificaat; eindopdracht mede beoordeeld door de pedagogisch coach van de werkgever"
King nascholing,Ja,"""Als er sprake is van een eindtoets, die na afloop van de cursus moet worden ingeleverd en/of beoordeeld, kan het dus wat langer duren."" — https://www.kingnascholing.nl/faq",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Geaccrediteerde nascholing zorgprofessionals; eigen docent beoordeelt
KOB (Kader- en Ondernemersopleiding Bouwbedrijf),Ja,"Studiegids 2024-2025: ""De docent neemt op van tevoren afgesproken tijdstippen de studieopdrachten in ontvangst. Binnen een termijn van drie weken beoordeelt de docent het werk en geeft het, voorzien van commentaar en cijfer terug aan de cursist."" — https://www.kob.nl/media/2017/08/Studiegids-KOB-2024-2025.pdf",Ja,"Stichting BOB-KOB, cursisten betalen zelf studie- en examengeld, NRTO-voorwaarden voor particulier onderwijs van toepassing — zelfde studiegids",Stichting BOB-KOB,"Sectorale kaderopleiding bouw; studieopdrachten intern beoordeeld, eindexamens via Bouwend Nederland"
LearnCare Academy,Ja,"""Het examen bestaat uit 2 onderdelen; een theorie-examen met multiple choice vragen en een casus en een schriftelijke opdracht: de Sociale Kaart."" Eigen examen op hbo-niveau, deelnamecertificaat bij minimaal een 6 — https://learncare.nl/opleiding-schuldhulpverlener-nen-8048-hbo-kiwa-diploma-schuldhulpverlening",Ja,NRTO-lid via Lindenhaeghe Groep,Certify360 EdTech Group (Lindenhaeghe Groep),"Sociaal-financiele opleider (schuldhulpverlening NEN 8048, budgetcoach); scriptie-onderdeel maakt het kansrijk"
Libereaux,Ja,"""Zodra het portfolio volledig gevuld is, kan het beoordeeld worden door een deskundig assessor"" en ""Het resultaat van een valideringstraject is een persoonlijk ervaringscertificaat waarin een assessor een beoordeling geeft van wat je hebt gepresenteerd."" — https://libereaux.nl/evc/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"EVC-aanbieder, portfoliovalidering in plaats van klassieke opleiding"
LOI (Leidse Onderwijsinstellingen),Ja,"""Je docent geeft feedback op je inzendopdrachten en beantwoordt eventuele vragen."" — https://www.loi.nl/studeren-bij-de-loi-zo-werkt-het",Ja,"NRTO-lid, particuliere aanbieder",Salta Group,Grote online opleider mbo en hbo; eigen docenten geven feedback op inzendopdrachten
LSR / De eerste verdieping,Ja,"""Praktijktoetsing in aanwezigheid van een NLP Master Trainer"" — https://www.1e-verdieping.nl/Opleidingen/nlp-trainer/ (eigen trainers toetsen; overwegend praktijk, geschreven werk nog niet aangetoond)",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,NLP-opleider; eigen trainers examineren
Media en Maatschappij (Stichting Reklame Rakkers),Ja,"""Het programma wordt afgesloten met een examen dat wanneer het succesvol wordt afgerond, recht geeft op het officiele Nationaal MediaCoach Certificaat. Het examen bestaat uit een theoretisch en een praktijkdeel."" — https://www.nomc.nl/?view=article&id=711",Ja,NRTO-lid,Nationale Academie voor Media en Maatschappij,"Nationale Opleiding MediaCoach; eigen examen en certificaat, deelnemers schrijven een mediawijsheid-beleidsplan"
Mooivakonderwijs,Ja,"""De vakdocent van de module sluit de module af en beoordeelt (ook tussentijds) de kwaliteit van de verplichte opdrachten."" — https://www.mooivakonderwijs.nl/actueel/alles-wat-je-moet-weten-over-de-vakopleiding-tot-glazenier/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Particulier vakonderwijs ambachten, eigen examencommissie"
NCOI Opleidingen,Ja,"""Ze worden alleen ter correctie voorgelegd aan de beoordelaar van de opleiding en, indien noodzakelijk, aan een tweede beoordelaar"" en ""Als je scriptie door je begeleider en een onafhankelijker beoordelaar als verdedigbaar is beoordeeld..."" — https://www.ncoi.nl/vragen/Examens-en-afronding.html",Ja,"Particuliere opleider, betaalde opleidingen — zelfde bron",Salta Group,"[AL IN CLOSE - Nurturing, niet koud benaderen] Grootste particuliere hbo/post-hbo opleider voor werkende professionals"
Nederlands Compliance Instituut,Ja,"""De examencommissie is verantwoordelijk voor de organisatie en kwaliteit van de examens. De leden worden benoemd door de directie van het NCI."" Let op: ""Voor enkele toetsen, waaronder de zelfstudietoets en eindtoetsen van LCO en LCP, is EUREKA als examinator benoemd."" — https://compliance-instituut.nl/examenreglement",Ja,NRTO-lid via Lindenhaeghe Groep,Certify360 EdTech Group (Lindenhaeghe Groep),"Leergangen compliance, integriteit en witwasbestrijding; eigen examencommissie plus praktijkopdracht, meerkeuzetoetsen extern"
Nederlandse Academie voor Beeldcreatie,Ja,"""Op de beoordelingsformulieren zijn beoordelingscriteria geformuleerd, die de examinatoren afzonderlijk van een 0, 1, 2 of 3 voorzien."" — https://publicaties.nvao.net/60c7520a84b2f_010056%20advies%20Beeldcreatie%20hbo-ba%20Film%20en%20Audiovisuele%20Media.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (9 opleidingen); bevoegd gezag Stichting de Nederlandse Fotovakschool,Stichting de Nederlandse Fotovakschool,"Fotoacademie en filmacademie, 4 locaties, creatieve bachelors deeltijd"
Netherlands Business Academy,Ja,"""De praktijkgerichte paper wordt extern beoordeeld door onafhankelijke onderwijskundigen en vormt minimaal 70% van de eindbeoordeling van de module."" — https://publicaties.nvao.net/561230572dac8_003118%20rapport%20NBA%20hbo-ma%20Finance%20and%20Control.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (36 opleidingen),Zelfstandig,"MBA en master finance en management voor executives, deeltijd"
