Naam,Website,Plaats,Adres,Postcode,Lid sinds,Sectoren,Regios,Marktgroepen,status,score,pos,neg,signalen
Capabel Onderwijs Groep,www.capabel.nl,UTRECHT,Australiëlaan 14,3526 AB,2012-05-22,,,,ok,21,21,0,+praktijkopdracht +post-?hbo +nvao +toetsing +beoordeling +herkansing +diploma
Scobe Academy,www.scobe.nl,Gouda ,Buchnerweg 7,2803 GR ,2023-01-02,,,,ok,20,21,1,+\bthesis\b +praktijkopdracht +post-?hbo +cpion +beoordeling +herkansing +diploma -incompany training(?!s?pro
CB Education Group (55 Creative Business School),www.55creativebusinessschool.nl,HILVERSUM,Witte Kruislaan 55a,1217 AM,2021-12-13,,,,ok,17,17,0,+eindopdracht +praktijkopdracht +portfolio +crkbo +beoordeling +studiebelasting +diploma
OntwerpAcademie,www.ontwerpacademie.nl,HAZERSWOUDE-DORP,Belgiëlaan 1A5,2391 PH,2017-02-28,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,17,18,1,+praktijkopdracht +examinator +portfolio +examencommissie +crkbo +diploma -incompany training(?!s?pro
Academie voor Psychodynamica BV,www.psychodynamica.nl,Scherpenzeel,Burgemeester Royaardslaan 3,3925GG,2022-01-31,,,,ok,16,21,5,+\bscriptie\b +post-?hbo +cpion +crkbo +beoordeling +studiebelasting +herkansing +diploma -certificaat van deelname|b
Cito,www.cito.nl,ARNHEM,Amsterdamseweg 13,6814 CM,2004-01-01,,,,ok,16,16,0,+examinator +portfolio +examencommissie +toetsing +beoordeling
Competence Trainingen en Opleidingen B.V.,www.sn.nl,Zaltbommel,Van Heemstraweg-West 5,5301PA,2023-02-20,,,,ok,16,17,1,+praktijkopdracht +studiepunten +nvao +toetsing +beoordeling +diploma -incompany training(?!s?pro
Edufit,www.edufit.nl,GOUDA,Graaf Florisweg 30, 2805 AL,2012-10-01,,,,ok,16,16,0,+beoordelingsformulier +examencommissie +nvao +beoordeling +meerdaagse leergang|leerga
hbo A&A,www.hboaa.nl,Almere ,Transitorstraat 7,1322 CJ,2015-07-21,,,,ok,16,16,0,+studiepunten +post-?hbo +nvao +toetsing +studiebelasting +diploma
New Dawn Academy B.V. ,www.sn.nl,Zaltbommel,Van Heemstraweg-West 5,5301PA,2023-02-20,,,,ok,16,17,1,+praktijkopdracht +studiepunten +nvao +toetsing +beoordeling +diploma -incompany training(?!s?pro
Realise Academy B.V.,www.sn.nl,Zaltbommel,Van Heemstraweg-West 5,5301PA,2023-02-20,,,,ok,16,17,1,+praktijkopdracht +studiepunten +nvao +toetsing +beoordeling +diploma -incompany training(?!s?pro
Realise B.V.,www.sn.nl,Zaltbommel,Van Heemstraweg-West 5,5301PA,2023-02-20,,,,ok,16,17,1,+praktijkopdracht +studiepunten +nvao +toetsing +beoordeling +diploma -incompany training(?!s?pro
Relevance Learning B.V.,www.sn.nl,Zaltbommel,Van Heemstraweg-West 5,5301PA,2023-02-20,,,,ok,16,17,1,+praktijkopdracht +studiepunten +nvao +toetsing +beoordeling +diploma -incompany training(?!s?pro
Relevance Leren B.V. ,www.sn.nl,Zaltbommel,Van Heemstraweg-West 5,5301PA,2023-02-20,,,,ok,16,17,1,+praktijkopdracht +studiepunten +nvao +toetsing +beoordeling +diploma -incompany training(?!s?pro
Schouten & Nelissen Academy B.V.,www.sn.nl,ZALTBOMMEL,Van Heemstraweg West 5,5301 PA,2013-01-01,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,16,17,1,+praktijkopdracht +studiepunten +nvao +toetsing +beoordeling +diploma -incompany training(?!s?pro
Schouten & Nelissen B.V.,www.sn.nl,Zaltbommel,Van Heemstraweg-West 5,5301PA,2023-02-20,,,,ok,16,17,1,+praktijkopdracht +studiepunten +nvao +toetsing +beoordeling +diploma -incompany training(?!s?pro
Schouten Company B.V. (holding),www.sn.nl,Zaltbommel,Van Heemstraweg-West 5,5301PA,2023-02-20,,,,ok,16,17,1,+praktijkopdracht +studiepunten +nvao +toetsing +beoordeling +diploma -incompany training(?!s?pro
Teelen ,www.Teelen.nl,WILP,Lathmerweg 5,7384 AD,2014-01-01,,,,ok,16,16,0,+examinator +portfolio +examencommissie +toetsing +beoordeling
TMO Fashion Business School,www.tmo.nl,DOORN,Driebergsestraatweg 11,3941 ZW,1995-04-24,,,,ok,16,16,0,+\bscriptie\b +portfolio +studiepunten +studiebelasting +herkansing +diploma
Intop Zorgsector,www.intopzorgsector.nl,Woerden ,Vijzelmolenlaan 1,3447 GX,2007-11-16,,,,ok,15,15,0,+examencommissie +onderwijs- en examenregeli +\boer\b +crkbo +toetsing
Sound Education,www.soundeducation.nl,Utrecht ,CAB-rondom 100,3534 BE ,2022-10-25,,,,ok,15,19,4,+praktijkopdracht +nagekeken +feedback op je (?:opdracht +crkbo +beoordeling +studiebelasting +diploma -\bvca\b
U-Consultancy,www.uconsultancy.nl,NIEUWEGEIN,Edisonbaan 8,3439 MN ,2012-08-02,,,,ok,15,19,4,+praktijkopdracht +portfolio +examencommissie +toetsing +beoordeling +studiebelasting +diploma -eendaagse|1-?daagse|tweeda -incompany training(?!s?pro
AN-i,www.an-i.nl,Zeist,Jagerlaan 12,3701 XJ,2022-04-04,,,,ok,14,18,4,+post-?hbo +hbo-?bachelor|hbo-?master +crkbo +beoordeling +studiebelasting +herkansing +diploma +meerdaagse leergang|leerga -heftruck|hoogwerker|rijbew
BartN Trainingen BV,www.bartn.nl,Hillegom,Haarlemmerstraat 5,2182HA,2019-07-01,,,,ok,14,15,1,+praktijkopdracht +toetsing +beoordeling +studiebelasting +reflectieverslag -incompany training(?!s?pro
Bureau STERK,www.bureausterk.nl,CULEMBORG,Godfried Bomansstraat 7,4103 WR,2018-11-01,,,,ok,14,14,0,+portfolio +beoordeling +leeruitkomsten +reflectieverslag +diploma
Facefacts,www.facefactsacademy.nl,Arnhem,Utrechtsestraat 5,6811 LS,2022-04-04,,,,ok,14,14,0,+eindopdracht +portfolio +crkbo +toetsing +studiebelasting +diploma
LSR BV,www.1e-verdieping.nl,Zoetermeer,Dorpsstraat 7,2712 AB,2022-05-25,,,,ok,14,17,3,+eindopdracht +examinator +crkbo +toetsing +reflectieverslag -eendaagse|1-?daagse|tweeda
NIVE Opleidingen ll B.V.,www.niveopleidingen.nl,Groningen,Radesingel 50,9711 EK,2022-01-31,,,,ok,14,14,0,+praktijkopdracht +post-?hbo +cpion +studiebelasting +diploma
WWZ Academie,www.wwz-academie.nl,Rotterdam,Burgemeester Hazenberglaan 401,3078 HG,2020-10-14,,,,ok,14,14,0,+eindopdracht +praktijkopdracht +reflectieverslag +diploma
BeeldCentrum,www.beeldcentrum.nl,Breda ,Charles Petitweg 37A9,4827 HJ ,2022-05-31,,,,ok,13,13,0,+portfolio +feedback op je (?:opdracht +crkbo +beoordeling +studiebelasting +diploma
Esoterra B.V.,www.esoterra.nl,BILTHOVEN,P.C. Staalweg 50,3721 TJ,2021-10-19,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,13,13,0,+eindopdracht +portfolio +cpion +eindtoets +diploma
Academie voor Interieur Ontwerp,https://academievoorinterieurontwerp.nl,Zwolle,Herenweg 98,8025 AD,2025-01-08,,,,ok,12,12,0,+praktijkopdracht +portfolio +crkbo +herkansing +diploma
Bit Academy B.V.,www.bit-academy.nl,Amsterdam,Science Park 608,1098XH,2021-01-21,,,,ok,12,12,0,+praktijkopdracht +portfolio +hbo-?bachelor|hbo-?master +crkbo +diploma
Bongers & Partners BV,www.bongers-partners.nl,Noordwijk,'sGravendijcksweg 60,2201 CZ ,2023-01-02,,,,ok,12,12,0,+\bscriptie\b +portfolio +crkbo +reflectieverslag
Elitas Nursing Academy,www.elitasnursingacademy.nl,Nieuwegein,Archimedesbaan 13,3439 ME ,2022-05-30,,,,ok,12,12,0,+examinator +beoordeling +herkansing +diploma
SDO Hogeschool voor Moderne Bedrijfskunde,www.sdo-hogeschool.nl   ,Rotterdam,Innsbruckweg 180-G,3047 AH,2011-08-01,,,,ok,12,12,0,+onderwijs- en examenregeli +\boer\b +nvao +crkbo
Van Harte & Lingsma Management en Organisatie B.V.,www.vanhartelingsma.nl,Amstelveen,Burgemeester Haspelslaan 63,1181 NB ,2021-02-03,,,,ok,12,12,0,+praktijkopdracht +beoordeling +reflectieverslag +meerdaagse leergang|leerga
Van Harte & Lingsma Management en Organisatie II B.V.,www.vanhartelingsma.nl,Amstelveen,Dorpsstraat 75,1182 JC,2025-07-01,,,,ok,12,12,0,+praktijkopdracht +beoordeling +reflectieverslag +meerdaagse leergang|leerga
Academica University of Applied Sciences,https://www.academica-group.com/,Nederland,Weteringschans 28,1017 SG,2026-07-06,,,,ok,11,11,0,+post-?hbo +nvao +diploma +meerdaagse leergang|leerga
Berghauser Pont Academy B.V.,https://www.berghauserpontacademy.nl/,Amsterdam,Danzigerkade 53,1013 AP,2022-04-18,,,,ok,11,14,3,+praktijkopdracht +casus(?:opdracht|uitwerkin +toetsing +diploma +meerdaagse leergang|leerga -eendaagse|1-?daagse|tweeda
Capabel PRO,www.capabel.nl,Utrecht,Australielaan 14-16,3526 AB,1995-04-24,,,,ok,11,11,0,+post-?hbo +nvao +beoordeling +diploma
Capabel Hogeschool,www.capabelhogeschool.nl,UTRECHT,Australiëlaan 14,3526 AB,2004-05-01,,,,ok,11,11,0,+post-?hbo +nvao +beoordeling +diploma
Edin B.V.,www.edin.nl,Maarsbergen,Ambachtsweg 4e,3953 BZ,2010-08-25,,,,ok,11,16,5,+eindopdracht +praktijkopdracht +leeruitkomsten +studiebelasting +diploma -certificaat van deelname|b
Libereaux,www.libereaux.nl,Hengelo,Jan Tinbergenstraat 202,7559 ST,2014-01-01,,,,ok,11,11,0,+beroepsproduct +portfolio +toetsing +diploma
PEKK,www.pekk.nl,TILBURG,Meerssenstraat 1c,5045 WD,2019-03-20,,,,ok,11,11,0,+praktijkopdracht +portfolio +crkbo +studiebelasting +diploma
Practice Solutions,www.dto-breda.nl,Breda,Minervum 7154,4817 ZN,2023-04-28,,,,ok,11,11,0,+examencommissie +crkbo +beoordeling +studiebelasting +diploma
The New School for Information Services,www.thenewschool.nl,AMSTERDAM,Jan Luykenstraat 98,1071 CV,2001-02-01,,,,ok,11,11,0,+afstudeeropdracht +portfolio +nvao
Ticken BV,www.ticken.nl,Baarn,Jacob van Lenneplaan 22,3743AR,2021-11-08,,,,ok,11,11,0,+crkbo +toetsing +beoordeling +herkansing +diploma
Bestuursacademie Nederland Opleidingen B.V.,www.bestuursacademie.nl,HILVERSUM,Marathon 7,1213 PD,2014-04-14,,,,ok,10,10,0,+praktijkopdracht +nvao +meerdaagse leergang|leerga
Certiforce C.I. B.V.,https://certiforce.nl,Doetinchem,Hanzestraat 19,7006 RH,2025-01-08,,,,ok,10,10,0,+portfolio +examencommissie +beoordeling +diploma
LSBL,www.lsbl.nl,EDE,Galvanistraat 1,6716 AE,2001-02-01,,,,ok,10,10,0,+praktijkopdracht +portfolio +eindtoets +diploma
NCOI Online Academy B.V.,www.ncoi.nl,Hilversum,Marathon 7,1213 PD,2020-09-30,,,,ok,10,10,0,+praktijkopdracht +nvao +diploma
NCOI Opleidingen,www.ncoi.nl,Hilversum,Marathon 7,1213 PD,2025-11-26,,,,ok,10,10,0,+praktijkopdracht +nvao +diploma
Salta Group B.V. ,www.ncoi.nl,HILVERSUM,Marathon 7,1213 PD,2011-07-11,,,,ok,10,10,0,+praktijkopdracht +nvao +diploma
Team Academy/Schoolvision,www.teamacademy.nl,AMSTERDAM,Vlaardingenlaan 15-4,1062 HM,2016-04-19,,,,ok,10,10,0,+\bthesis\b +nvao +diploma
Wittenborg University of Applied Sciences,www.wittenborg.eu,APELDOORN,Brinklaan 268,7311 JD,2004-01-01,,,,ok,10,10,0,+\bthesis\b +nvao +diploma
Competence Training Institute B.V.,www.sn.nl,Zaltbommel,Van Heemstraweg-West 5,5301PA,2023-02-20,,,,ok,9,10,1,+praktijkopdracht +nvao +beoordeling -incompany training(?!s?pro
EuroCollege Management School,www.eurocollege.nl,ROTTERDAM,Westblaak 139,3012 KJ,2003-10-01,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,,,ok,9,9,0,+hbo-?bachelor|hbo-?master +nvao +diploma
GOmotive,http://www.gomotive.nl,Duiven,Impact 57,6921 RZ,2012-05-01,,,,ok,9,9,0,+praktijkopdracht +crkbo +diploma +meerdaagse leergang|leerga
Keulseweg,www.keulseweg.nl,PIJNACKER,Keulseweg 34,2641 PK,2019-01-01,,,,ok,9,9,0,+post-?hbo +cpion +crkbo +studiebelasting
King nascholing ,www.kingnascholing.nl,Amsterdam,Czaar Peterstraat 111,1018 SK,2022-05-01,,,,ok,9,9,0,+post-?hbo +beoordeling +eindtoets +meerdaagse leergang|leerga
OSR juridische opleidingen ,www.osr.nl,Utrecht ,Arthur van Schendelstraat 650,3511 MJ ,2021-06-10,,,,ok,9,17,8,+eindopdracht +toetsing +beoordeling +herkansing +modules? (?:wordt|worden)  +meerdaagse leergang|leerga -certificaat van deelname|b -eendaagse|1-?daagse|tweeda
OSR OpMaat,www.osr.nl,Utrecht ,Arthur van Schendelstraat 650,3511MJ,2021-10-05,,,,ok,9,17,8,+eindopdracht +toetsing +beoordeling +herkansing +modules? (?:wordt|worden)  +meerdaagse leergang|leerga -certificaat van deelname|b -eendaagse|1-?daagse|tweeda
Take Off Support,https://www.takeoffsupport.nl,ARNHEM,Willemsplein 9,6811 KB,2022-05-03,,,,ok,9,10,1,+crkbo +toetsing +reflectieverslag +diploma -incompany training(?!s?pro
Winc Academy,https://wincacademy.nl,Amsterdam,van de Sande Bakhuijzenstraat 4,1061 AG,2020-06-25,,,,ok,9,9,0,+eindopdracht +portfolio +crkbo +diploma
Academie voor Chinese Geneeswijze Qing- Bai,www.qing-bai.nl,Milsbeek,Kanonskamp 60,6596 AT ,2022-07-27,,,,ok,8,8,0,+toetsing +herkansing +diploma
Bedrijfskunde Opleiding Utrecht,https://bedrijfskundeopleidingutrecht.nl/,UTRECHT,Koningsbergerstraat 9,3531 AJ,2020-03-10,,,,ok,8,8,0,+post-?hbo +cpion +meerdaagse leergang|leerga
BTSG,www.btsg.nl,ZWOLLE,Branderweg 3a,8042 PD,2010-03-02,,,,ok,8,9,1,+studiepunten +crkbo +beoordeling +studiebelasting +diploma -incompany training(?!s?pro
Contractgroep Inholland B.V.,www.inhollandacademy.nl,ALKMAAR,Bergerweg 200,1817 MN,2010-11-16,,,,ok,8,8,0,+afstudeeropdracht +post-?hbo
Fiscaal Studie- en documentatie Centrum ,https://www.fsdc.nl ,Loenen ,Hoofdweg 115,7371 GG,2023-01-02,,,,ok,8,8,0,+examencommissie +beoordeling +studiebelasting
Hogeschool NOVI,www.novi.nl,UTRECHT,Newtonlaan 247 ,3584 BH ,2012-07-01,,,,ok,8,8,0,+praktijkopdracht +studiepunten +diploma
Hogeschool TIO/TIO College,www.tio.nl,Hilversum,Marathon 7,1213 PD,1995-04-24,,,,ok,8,8,0,+praktijkopdracht +beoordeling +diploma
IBHS,www.ibhs.nl,Amsterdam,Prinsengracht 701,1017 JV,2025-02-21,,,,ok,8,8,0,+\boer\b +hbo-?bachelor|hbo-?master +crkbo +diploma
Luzac Onderwijs B.V.,www.luzac.nl,HILVERSUM,Marathon 7,1213 PD,2001-02-01,,,,ok,8,8,0,+toetsing +herkansing +diploma
Nederlands Compliance Instituut B.V.,https://compliance-instituut.nl,Rotterdam,Burgemeester Hazenberglaan 401,3078 HG,2023-03-30,,,,ok,8,8,0,+praktijkopdracht +diploma +meerdaagse leergang|leerga
NIA Academie B.V.,https://nia-academie.nl/,Amsterdam,Memeleiland 45,1014 ZL,2022-04-18,,,,ok,8,8,0,+eindopdracht +portfolio +diploma
Stichting Continuiteit Schrijversvakschool,www.schrijversvakschool.nl,Amsterdam,Herengracht 613,1017 CE,2022-02-21,,,,ok,8,8,0,+examencommissie +beoordeling +diploma
The Lean Six Sigma Company B.V.,https://www.theleansixsigmacompany.nl,Rotterdam,Van Nelleweg 1,3044 BC,2023-11-01,,,,ok,8,8,0,+praktijkopdracht +beoordeling +diploma
Artemis Academie,www.artemisacademie.nl,Amsterdam,Marnixstraat 317,1016 TB,2011-09-01,,,,ok,7,7,0,+hbo-?bachelor|hbo-?master +nvao
Brave Minds,www.brave-minds.nl,Utrecht ,Lucasbolwerk 7,3512 EG ,2022-03-14,,,,ok,7,7,0,+examinator +diploma
BusinessCoach Nederland B.V. (vh Zakelijk Succes B.V.),www.businesscoach.nl,De Meern,Boteyken 193-11,3454 PD,2021-01-03,,,,ok,7,10,3,+portfolio +post-?hbo +cpion +diploma -eendaagse|1-?daagse|tweeda
Centrum voor Conflicthantering,https://www.cvc.nl/,Haarlem,Nieuwe Gracht 3,2011 NB,2022-05-03,,,,ok,7,8,1,+eindopdracht +beoordeling +meerdaagse leergang|leerga -incompany training(?!s?pro
Docendo,www.docendo.nl,Houten ,Elzenkade 1-3,3992 AD,2022-08-31,,,,ok,7,8,1,+praktijkopdracht +studiebelasting +diploma -incompany training(?!s?pro
Hogeschool voor Toegepaste Filosofie,www.hogeschoolvoortoegepastefilosofie.nl,UTRECHT,Vondellaan 174,3521 GH,2014-09-01,,,,ok,7,7,0,+studiepunten +hbo-?bachelor|hbo-?master +meerdaagse leergang|leerga
Onderwijsinstelling STOC,www.stoc.nl/,DEN HAAG,Loire 150,2491 AK,2012-12-05,,,,ok,7,10,3,+toetsing +beoordeling +herkansing +diploma -eendaagse|1-?daagse|tweeda
Overdenkwerk,http://www.overdenkwerk.nl/,EMMELOORD,Eemsstraat 14,8303LH,2020-01-31,,,,ok,7,8,1,+eindopdracht +studiebelasting +meerdaagse leergang|leerga -incompany training(?!s?pro
Stichting Hoger Technisch Instituut (HTI) Amsterdam,www.hti-opleidingen.nl,Wijk bij Duurstede,Zandweg 50,3962 ED,2014-07-15,,,,ok,7,7,0,+post-?hbo +studiebelasting +diploma
Business School Nederland,www.bsn.eu,Buren,Herenstraat 25,4116 BK,2005-03-14,,,,ok,6,6,0,+nvao +diploma
Dirksen Opleidingen,www.dirksen.nl,ELST,Nijverheidsweg 21,6662 NG,2024-12-12,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,6,6,0,+praktijkopdracht +diploma
Haarlem Institute for Higher Education BV,srh-haarlem-campus.com,Haarlem,Koepelplein 1c,2031 WL,2024-10-14,,,,ok,6,6,0,+portfolio +nvao
Hogeschool Dirksen,www.dirksen.nl,ELST,Nijverheidsweg 21,6662 NG,1995-04-24,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,6,6,0,+praktijkopdracht +diploma
ITV Hogeschool voor Tolken en Vertalen,www.itv-h.nl,UTRECHT,Padualaan 101,3584 CH,1995-04-24,,,,ok,6,6,0,+hbo-?bachelor|hbo-?master +toetsing
IVA Driebergen,www.iva.nl,DRIEBERGEN,Hogesteeg 2,3972 JT,2000-05-01,,,,ok,6,6,0,+nvao +diploma
Maas College,www.maascollege.nl,ROTTERDAM,Oostplein 410-428,3061 CH,2019-12-13,,,,ok,6,9,3,+praktijkopdracht +herkansing +diploma -eendaagse|1-?daagse|tweeda
Medivus,www.medivus.nl,Rijswijk,Laan van Zuidhoorn 60,2289 DE,2023-04-28,,,,ok,6,9,3,+praktijkopdracht +toetsing +diploma -ehbo
Rjansen Vastgoedbeheer BV,www.dirksen.nl,Elst,Vivaldistraat 21,6661 BW,2024-12-12,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,6,6,0,+praktijkopdracht +diploma
Schoevers Opleidingen B.V.,www.schoevers.nl,HILVERSUM,Marathon 7,1213 PD,1995-04-24,,,,ok,6,6,0,+nvao +diploma
SocialLane Academy B.V.,https://dutchmarketingacademy.nl/,DEN HAAG,Hellingweg 98 L,2583 WH,2020-07-21,,,,ok,6,7,1,+praktijkopdracht +herkansing -incompany training(?!s?pro
Stichting TCI Toetscentrum Intereducatief,www.tci-examens.nl,SCHOONREWOERD,Dorpsstraat 47,4145 KB,2005-05-01,,,,ok,6,6,0,+portfolio +beoordeling +diploma
Synergos ,www.synergos.nl,Amersfoort,Regentesselaan 21,3818HH,2021-11-08,,,,ok,6,6,0,+post-?hbo +cpion
TAT beroepsopleidingen Luchtvaart en Hospitality B.V.,https://opleidingstewardess.nl/,Leiden,Schipholweg 103,2316XC,2022-03-28,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,6,6,0,+praktijkopdracht +diploma
TSTC (Tshukudu Technology College BV) ,www.tstc.nl,Veenendaal,Plesmanstraat 62,3905 KZ,2021-03-26,,,,ok,6,9,3,+praktijkopdracht +beoordeling +herkansing -eendaagse|1-?daagse|tweeda
Wellness Academie BV,www.wellnessacademie.com,Eindhoven,Stadhuisplein 10,5611 EM,2022-05-10,,,,ok,6,9,3,+portfolio +crkbo +beoordeling +studiebelasting +diploma -eendaagse|1-?daagse|tweeda
ABC Opleiding & Training,https://abc-opleiding.com/,Paramaribo,Louiselaan 115 / Hoek Verlenge Mahonylaan,,2018-02-01,,,,ok,5,5,0,+cpion +diploma
Academie voor Geesteswetenschappen,www.academiegeesteswetenschappen.nl,Utrecht,Hengeveldstraat 29,3572 KH,2021-07-09,,,,ok,5,5,0,+cpion +meerdaagse leergang|leerga
Avondopleidingen SKO,https://www.avondopleidingensko.nl ,Vught,Titus Brandsmalaan 1,5262 BS,2021-12-20,,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,5,5,0,+herkansing +diploma
Brain Blocks Group,www.brainblocks.com,NIJMEGEN,Kerkenbos 10-79 LL,6564 BB,2019-11-25,,,,ok,5,6,1,+praktijkopdracht +studiebelasting -incompany training(?!s?pro
C.I.C.K.,https://cick.nl/,Zwolle,Burg. van Roijensingel 10a,8011 CT,2019-06-03,,,,ok,5,5,0,+crkbo +studiebelasting +diploma
Computrain Opleidingen B.V.,www.computrain.nl,HILVERSUM,Marathon 7,1213 PD,2018-03-23,,,,ok,5,8,3,+praktijkopdracht +portfolio +diploma -ehbo
CTC Talent,https://ctctalent.nl,Veenendaal,Wiltonstraat 2a,3905 KW,2025-05-14,,,,ok,5,5,0,+examinator
Finance Ideas Academy,www.fi-academy.nl,LELYSTAD,Pascallaan 68F,8218 NJ,2014-07-17,,,,ok,5,5,0,+toetsing +meerdaagse leergang|leerga
FIRSTT Opleidingen,https://firstt.nl,Stellendam,Korteweg 4,3251 LE,2022-05-17,,,,ok,5,5,0,+herkansing +diploma
Home of Impact ,www.homeofimpact.nl,Berkel en Rodenrijs,Zuidersingel 4A,2651 AJ,2022-09-26,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,5,5,0,+post-?hbo +meerdaagse leergang|leerga
IS-ZO,https://www.tozo-skills.nl/,Beek en Donk,Trentstraat 2a,5741 ST,2023-03-23,,,,ok,5,5,0,+toetsing +diploma
IVIO Examenbureau,www.ivio-examenbureau.nl,LELYSTAD,Pascallaan 71,8218 NJ,2008-06-12,,,,ok,5,5,0,+toetsing +diploma
Kans Kwadraat,www.kanskwadraat.nl,Utrecht,Herculesplein 25,3584 AA,2021-05-04,,,,ok,5,6,1,+praktijkopdracht +diploma -incompany training(?!s?pro
Markus Verbeek Praehep B.V.,www.mvp.nl,HILVERSUM,Marathon 5,1213 PD,1995-04-24,,,,ok,5,5,0,+toetsing +diploma
Modevakschool Nancy van Vliet,www.nancyvanvliet.nl,Alkmaar,Arkplein 25,1826 DM,2022-04-04,,,,ok,5,5,0,+crkbo +studiebelasting +diploma
NIVE Opleidingen,https://niveopleidingen.nl/,DE BILT,Dorpstraat vo Steenstraat 74,3732 HK,2021-02-03,,,,ok,5,5,0,+post-?hbo +diploma
NTI B.V.,www.nti.nl,LEIDEN,Schuttersveld 6,2316 ZB,1998-02-01,,,,ok,5,5,0,+hbo-?bachelor|hbo-?master +diploma
OranjeStarters B.V. ,www.ambachtshuis-brabant.nl,Eindhoven ,Rijsven 8,5645 KH,2022-06-22,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,5,5,0,+crkbo +beoordeling +diploma
Prosper College B.V.,https://prospercollege.nl,Amsterdam,Geldershoofd 80,1103 BG,2025-01-08,,,,ok,5,5,0,+herkansing +diploma
Précon Learning,www.precongroup.nl/training-en-e-learning,BUNNIK,Regulierenring 16,3981 LB,2014-10-21,,,,ok,5,5,0,+toetsing +beoordeling
