score,naam,plaats,website
4,Corael Opleidingen B.V.,De Bilt,www.corael.nl
4,Cosmo Opleidingen,'s-Hertogenbosch,www.wearecosmo.com/opleidingen
4,D&M Opleidingen,Heinkenszand,www.dmopleidingen.nl
4,Da Vinci Opleidingen B.V.,Dordrecht,
4,Dam Transportopleidingen BV,Ede,www.dam.nl
4,Daska Opleidingen bv,Zwolle,
4,DBC Opleidingen B.V.,Sneek,www.dbc-sneek.nl
4,"De Broedplaats, opleidingen psychosynthese",Amersfoort,www.broedplaats.academy/
4,De Droomsmidse: Jolijn Hendriks Opleidingen,Oudelande,www.jolijnhendriks.nl
4,De Groot Verkeersopleidingen,Barneveld,www.degrootverkeersopleidingen.nl
4,De Kleine Parel Opleidingsinstituut B.V.,Rijswijk Zh,
4,De Roos Opleidingen,Vierhouten,www.deroosopleidingen.nl
4,De School voor Transitie Opleidingen B.V.,Huissen,www.deschoolvoortransitie.nl
4,De Weerd Verkeersopleidingen B.V.,Apeldoorn,www.deweerd.net
4,Dek Verkeersopleidingen,Goes,www.dek.nl
4,DIBO beroepsopleidingen BV,Emmen,www.dibo-emmen.nl
4,Dompvloet Opleidingen,Heiloo,www.dompvloet.nl
4,Droomritme Opleidingen BV,Bussum,droomritme.nl/
4,E&R Opleidingen,Nieuwegein,www.e-r-opleidingen.nl
4,"Economy Transformers academy, academie voor samenlevenskunst",Almere,www.economytransformers.nl
4,Educatie instituut,Rotterdam,www.sluisnlpinstituut.nl
4,Educatief Mandala Instituut - Studio Danka Husken,Arnhem,www.dankahusken.nl
4,Edumar vaaropleidingen,Workum,www.grootvaarbewijs.nl
4,Emergo opleidingen,Zeewolde,www.emergo-opleidingen.nl
4,EMRIN Opleidingen,Oosterend nh,www.emrin.nl
4,Equi-Vitaal Opleidingen,Etten,www.equi-vitaal.nl
4,ExpertCollege-Nightingale Instituut,Amstelveen,www.expertcollege.com
4,Feelings Opleidingen,Beuningen,www.feelingsopleidingen.nl
4,Financieel Vitaal Opleidingen B.V.,Lievelde,www.financieelvitaal.com
4,Firstt Opleidingen B.V.,Stellendam,
4,Folkers Rijopleidingen,Winschoten,www.folkersrijopleidingen.nl
4,Forta Opleidingen B.V.,Rotterdam,
4,Future Nails opleidingen Nagelstyling,Terheijden,www.futurenails.nl
4,Galan Groep Opleidingen B.V. t..h.o.d.n. Bright & Company B.V.,Baarn,www.galangroep.nl
4,Govers Opleidingen,Overveen,www.govers-vanderstaay.nl
4,Haprotech Lasopleidingen BV,Velsen-Noord,www.haprotech.nl
4,Harrows Opleidingen BV,Arnhem,www.harrows.nl
4,Hartemink Vervoersopleidingen B.V.,Eibergen,www.hartemink.nl
4,Het Huis opleidingen BV,Haarlem,www.welkominhethuis.nl
4,het vertrouwen opleidingen bv,Erp,www.hetvertrouwen.nl
4,Hielkema verkeersopleidingen,Heerenveen,
4,Hoekstra Beroepsopleidingen BV,Alkmaar,www.hoekstra.net
4,Hoogendijk Coachopleidingen,Spankeren,www.hoogendijkcoachopleidingen.nl
4,Horizon Opleidingen,Heukelom (gemeente Oisterwijk),www.horizonopleidingen.nl
4,Hormoon Opleidingsinstituut,Waalre,www.hormooninstituut.nl
4,Impact Financiële Opleidingen BV,Nijmegen,www.impactkennis.nl
4,Improfin Beroepsopleidingen,Wijchen,www.improfin.nl
4,InBalans-opleidingen,Julianadorp,www.inbalansopleidingen.nl
4,Inner Life Opleidingen,'s-Hertogenbosch,
4,Instituut voor Lichaamspsychologie: Opleiding de psychologie van het lichaam,Amsterdam,www.depsychologievanhetlichaam.nl
4,"Instituut voor sociale psychologie, onderdeel IBT-Academie",Groningen,www.ibt-academie.nl
4,Intence opleidingen,Dordrecht,www.intenceopleidingen.nl
4,Interactie Opleidingen B.V.,Ede gld,www.interactieopleidingen.nl
4,intuitieve opleidingen Rotterdam,Sliedrecht,www.intuitief.com
4,IVIO-Opleidingen B.V.,Almere,www.ivio-integratie.nl
4,Jawel Opleidingen BV,Haarlem,www.jawel.nu
4,Jongepier opleidingen BV,Nieuw-Vennep,
4,josmic opleidingen en trainingen bv,Oostzaan,www.josmic-opleidingen.nl
4,JTI Opleidingen B.V.,Beringe,www.opleidingsinstituut-jti.nl
4,Jungiaans instituut - Academie voor dieptepsychologie,Nijmegen,www.jungiaansinstituut.nl
4,Kees de Vaan opleidingen BV,Wijk En Aalburg,www.keesdevaan.nl
4,keuze opleidingsinstituut KOI,Poortugaal,www.keuze.org
4,Kind en ik Opleidingen,Utrecht,www.kindenik.nl
4,KRACHT opleidingen (handelsnaam van Healthy Crew),Leiderdorp,www.krachtopleidingen.nl
4,KrachtVol in Opleidingen,Pijnacker,www.krachtvolinopleidingen.nl
4,Kreeft Beroepsopleidingen BV,Hoogeveen,www.kreeftopleidingen.nl
4,La Lique Cosmetics en Opleidingen,Heerhugowaard,www.la-lique.nl
4,Leefstijlwijzer Opleidingen,Hilversum,www.leefstijlwijzeropleidingen.nl/
4,Lenoir Opleidingen B.V.,Geleen,
4,Leren over Leven Opleidingsinstituut Contextuele Studies,Bellingwolde,www.lerenoverleven-oics.nl
4,Lespunt Opleidingen B.V.,Oud-Beijerland,www.lespunt.nl
4,Licht in jou energetische opleidingen,Eersel,www.lichtinjouenergetischeopleidingen.nl
4,LO Eindhoven B.V. t.h.o.d.n. LEEUW Opleidingen,Eindhoven,www.leeuwopleidingen.nl
4,Ludens Opleidingen B.V.,Vreeland,www.ludenstraining.nl
4,Lumen Opleidingen,Veenendaal,www.lumenleven.nl
4,MAEK Opleidingen B.V.,Breda,
4,Manuels Opleidingen,Veenendaal,www.manuels.nl
4,Marc Hoeks Opleidingen,Luyksgestel,www.marchoeksopleidingen.nl
4,Meander Uitvaartopleidingen,Amersfoort,www.meanderuitvaartopleidingen.nl
4,MKPC Beroepsopleidingen B.V.,Zoetermeer,www.mkpc.nl
4,"Modevakopleiding Hermsen, Janssen & Schuurman",Arnhem,www.modevakopleiding.nl
4,Mondra Opleidingen bv,Andelst,www.mondraopleidingen.nl
4,MROI opleidingen en trainingen,Oosterbeek,www.mindfulrun.nl/opleidingsaanbod/
4,Mulder Opleidingen,Zuidlaren,www.mulderopleidingen.nl
4,Mulligan Opleidingen,'s-Hertogenbosch,www.mulliganconcept.nl
4,NCB Opleidingen BV,Utrecht,www.ncbnet.nl
4,Nederlands Centrum Lactatie Opleidingen,Almere,www.nclo.nl
4,Nederlandse Opleidingsacademie,Hoofddorp,www.n-oa.nl
4,Nieuwetijds Opleidingen,Zoetermeer,www.nieuwetijdsopleidingen.nl
4,NIPA EIndhoven B.V. T.H.O.D.N. NIPA Opleidingen en ZORGDIDACT,Asten,www.nipaeindhoven.nl
4,NLP Opleidingen Wegener,Heerlen,www.nlpopleidingenwegener.nl
4,Onderwijs Academie BV,Almelo,onderwijsacademie.nl
4,Oosterpoort Beroepsopleidingen BV,Assen,www.oosterpoort.nl
4,Opleidingen Land van Rouw,Molenhoek,www.landvanrouw.nl
4,Opleidingen van ASR B.V.,Heerlen,
4,Opleidingsinstituut Delsasso en van de Weijer,Nieuwerkerk Aan Den Ijssel,www.kiluma.nl
4,Opleidingsinstituut Dermé,Brielle,www.derme.nl
4,Opleidingsinstituut LOC B.V.,Tuitjenhorn,www.coachingvoordocenten.com
4,Opleidingsinstituut Pediroda,Almelo,www.pediroda.nl
4,Opleidingsinstituut PPO,Groningen,www.ppo-opleidingen.nl
4,Opleidingsinstituut RTN,Raamsdonksveer,www.rtnederland.nl
4,Opportunity Opleidingen B.V.,Amsterdam,www.opportunity.nl
4,osseforth beroepsopleidingen,Elsloo lb,www.osseforth.nl
4,OTC rijopleidingen B.V.,Someren,www.rijschoolvanbentum.nl
4,Panta Rhei Opleidingen VOF,Rijen,www.pro-osteo.com
4,Paul Lenferink NLP Opleidingen,Einighausen,www.paullenferink.nl
4,PBS Opleidingen,Amsterdam,www.pbsopleidingen.nl
4,PC Opleidingen B.V.,Apeldoorn,
4,Performance Opleidingen VOF,Amsterdam,www.performancematters.nl
4,Phaos Opleidingen B.V.,Utrecht,www.phaos.nl
4,Phoenix Opleidingen,Utrecht,www.phoenixopleidingen.nl
4,"Platform Opleiding, Onderwijs en Organisatie B.V.",Leiden,www.plato.leidenuniv.nl
4,Politie Opleidingen Centrum Nederland,Zuidland,www.pocn.nl
4,Polteq Opleidingen BV,Amersfoort,www.polteq.com
4,Porro Opleidingen,Den Haag,www.porro-opleidingen.nl
4,PostMDopleidingen,Rotterdam,www.postmdopleidingen.nl
4,PPP Opleidingen Nederland,Ermelo,www.pppopleidingen.nl
4,PROFESSIONEEL INSTITUUT OPLEIDING FINANCIËN (P.I.O.F.),Zoetermeer,www.piof.nl
4,"ProFundum Educatie, onderdeel ProFundum Instituut",Dordrecht,www.profundum-educatie.nl
4,Q3P Opleidingen,'s-Hertogenbosch,www.q3consult.nl
4,QUENO Sportopleidingen,Westerbork,quenosportopleidingen.nl
4,Ratio opleidingen BV,Maastricht,
4,ROCAS Opleidingen,Emmen,
4,Roordink Opleidingen B.V.,Putten,www.rijschoolroordink.nl
4,Saasen Opleidingen B.V.,Mierlo,www.saasen.nl
4,SANU Opleidingen voor Geneeswijzen,Deventer,www.sanu.nl
4,Scheidegger Opleidingen B.V.,Hilversum,www.scheidegger.nl
4,Sirion opleidingen,Delfgauw,www.lichtwerker.nu
4,SMART opleidingen lokale overheden,Utrecht,www.smart-solo.nl
4,Smits Opleidingen Transport BV,Oss,www.smitsopleidingen.nl
4,Sparring Partners Opleidingen,Haarlem,www.thesparringpartners.nl
4,Stethos Opleidingen & Trainingen,Leeuwarden,www.stethos.nl
4,Stichting Brandweeropleidingen BOGO,Hattem,www.bogo.nl
4,Stichting opleidingen sfeerkeepers,Venlo,www.sfeerkeepercollege.nl
4,Stichting Plegan Opleidingen,Broek in Waterland,www.plegan.nl
4,Stichting Regionaal Opleidingen Centrum Aventus,Apeldoorn,www.aventus.nl
4,Stichting Sociaal Geneeskundige Opleidingen SSGO,Utrecht,
4,Stichting VBA Opleidingsinstituut Morreau,Amstelveen,cfasociety.nl
4,Strongwood Opleidingen,Zaandam,www.strongwood.net
4,Tienopleidingen,Rijswijk,www.tienopleidingen.nl
4,TNL.Transportopleidingen Nico Lardinois h/o Creemers-Belfort,Eckelrade,www.creemers-belfort.nl
4,Transport/Logistiek Midden Gelderland BV t.h.o.d.n. Jaap Speelziek Transportopleidingen,Ede gld,www.speelziek.nl
4,Transportopleidingen Kees van Iersel B.V.,Heesch,www.iersel.nl
4,Turbo Theorie Opleidingen BV,Wateringen,www.turbotheorievrachtwagen.nl/
4,Twynstra Gudde Opleidingen en Trainingen B.V.,Amersfoort,www.twynstragudde.nl
4,Urologisch Opleidings Instituut,Utrecht,
4,van Buuren beroepsopleidingen b.v.,Pijnacker,www.vbuuren.nl
4,Van der Staay Opleidingen,Overveen,
4,Van Velzen Development opleidingen bv,Rijnsburg,vanvelzendevelopment.nl
4,van Vugt beroepsopleidingen BV,Wognum,
4,Vermeulen opleidingen en vorming,Zutphen,www.vov-opleidingen.nl
4,Vetraned BHV opleidingen BV,Herten,www.vetraned.nl
4,VIP opleidingen BV,Nijmegen,www.vip-rijinstructeuropleiding.nl
4,Vita Opleidingen B.V.,Zeewolde,www.vitaopleidingen.nl
4,VONK cursussen en bedrijfsopleidingen,Den helder,www.vonknh.nl
4,Wielwerk Opleidingen,Culemborg,www.wielwerkopleidingen.nl
4,Wolves Opleidingen B.V.,Rijswijk,www.vrachtwagenopleiding.nl
4,ZoMa Opleidingen Oost B.V.,Westervoort,www.zoma-opleidingen.nl
4,ZoMa Opleidingen West BV,Moerkapelle,zoma-opleidingen.nl
4,Zonnevlecht Opleidingen,Wijk en Aalburg,www.zonnevlechtopleidingen.nl
3,Stichting Opleidingen Amsterdams Instituut voor Gezins- en Relatietherapie,Amsterdam,www.aigr.nl
2,&Samhoud university,Utrecht,
2,12Mprove Academy B.V.,Ankeveen,
2,2SUR5 Academy B.V.,Wateringen,
2,4D organisatieontwikkeling & opleiding,Valkenburg nb,www.vier-d.nl
2,Abas Implant Academy,Bussum,www.tandartsabas.nl/implant-academy/
2,Academie Antroposofische Gezondheidszorg,Apeldoorn,www.academieag.nl
2,Academie Bo Yi,Zoetermeer,www.bo-yi.nl
2,Academie Energetische Geneeskunde,Utrecht,www.energetischegeneeskunde.eu
2,Academie Helder,Bunschoten,www.academiehelder.nl
2,Academie Reconstructieve Tandheelkunde BV,Beuningen,www.reconstructieve-tandheelkunde.nl
2,Academie voor (zelf)heling,Ruurlo,https://academievoorzelfheling.nl
2,Academie voor Edelsmeden VoF,Zeist,www.academievooredelsmeden.nl
2,Academie voor Haptonomie,Doorn,www.haptonomie.nl
2,Academie voor Holistisch Coachen,Bilthoven,www.holistischcoachen.nl
2,Academie voor Kindertandheelkunde,Alkmaar,www.academiekindertandheelkunde.nl
2,Academie voor Kinesiologie,Alphen Aan Den Rijn,www.academievoorkinesiologie.nl
2,Academie voor Klank,Zwolle,www.klankenpedagogiek.nl
2,Academie voor Klassieke Homeopathie Coöperatie U.A.,Zutphen,www.avkh.nl
2,Academie voor Medezeggenschap,Tilburg,www.avmtraining.nl
2,Academie voor Medisch Specialisten,Utrecht,www.academiemedischspecialisten.nl
2,Academie voor Motivatie en Gedragsverandering BV,Eindhoven,www.acadmiemg.nl
2,Academie voor Open Bewustzijn,Tilburg,www.openbewustzijn.nl
2,Academie voor Organisatiecultuur,Soest,www.academievoororganisatiecultuur.nl
2,Academie voor Praten met Kinderen,Utrecht,www.academiepratenmetkinderen.nl
2,Academie voor Systemisch Werk,Eefde,www.AvSW.nl
2,Academie voor Verlies,Leidschendam,www.academievoorverlies.nl
2,Academie Voor Zorgend Nederland (AVZN),Hedel,
2,Academy for Integrative Medicine,Nijmegen,www.aim-edu.nl
2,Academy for Mindful Teaching,Breda,www.academyformindfulteaching.com
2,Academy Inc,Amsterdam,www.academyinc.nl
2,Academy of Brain Stimulation,Maastricht,
2,Academy of Logistics,Appingedam,
2,ACT & Leefstijl Academy BV,Oosterhout Nb,www.actenleefstijl.academy
2,ACTA Dental Education,Amsterdam,www.acta-de.nl
2,Addiction Academy,Leeuwarden,www.addictionacademy.nl/
2,Adem Academie Nederland,Zwolle,www.ademacademie-nederland.nl
2,Aizen Academie B.V.,Drunen,www.aizen.nl
2,Akasha College,Escharen,www.akasha-rijkunst.nl
2,Alba-academie bv,Veldhoven,www.alba-academie.nl
2,Alfons Onderwijsondersteuning,Enschede,www.alfons-oo.nl
2,Algemene Onderwijsbond,Utrecht,www.aob.nl
2,Alliance Center for Education BV,Willemstad,www.ace-college.com
2,AMBOR VAKSCHOOL BV,Bodegraven,www.amborvakschool.nl
2,Amplio College,Breda,www.amplio.college
2,Amsterdam Academy for Body Learning,Amsterdam,www.academyforbodylearning.com
2,Amsterdam Fashion Academy,Amsterdam,
2,Amsterdam Institute of Finance 2,Amstelveen,www.aif.nl
2,Analytical Academy BV,Amsterdam,www.micompany.nl
2,Angel Fashion Academy,Baambrugge,www.angel-fashion-academy.nl
2,"Anja Bijker, instituut voor relatieontwikkeling",Katwijk Aan Zee,www.anjabijker.nl en www.instituutvoorrelatieontwi
2,Apanta-Academy,Eindhoven,Over Apanta-academy - Apanta (apanta-ggz.nl)
2,APS Therapy - Afdeling Educatie,Arnhem,www.apstherapy.com
2,Arch Academy,Duiven,www.archacademy.nl
2,ARI Education NL BV,Amsterdam,
2,Arjen Nanninga Onderwijsdenker,Amersfoort,www.arjennanninga.nl
2,Ars Musica Ensemblezang Academie (AMEZA),Zeist,arsmusica.nl/naar-het-podium/ars-musica-en
2,Ashana Holistic Education,Tegelen,www.ashana.biz
2,"Astrid Lassche, begeleiding, training en opleiding",Weesp,www.astridlassche.nl
2,Augustijn Institute,Bergen nh,www.augustijninstitute.com
2,Auxilio Academie,Utrecht,www.auxilio.nl
2,AV Sound Education,Urecht,www.avsoundeducation.nl
2,AVS-Radiant Stralingsonderwijs,Kamerik,avs-radiant.nl/
2,B academy hair (Hair C Academy BV),Amsterdam,bacademy.nl
2,BA&T Opleidingscentrum,Genemuiden,www.ba-t.nl
2,Baanbrekers Academy,Nuenen,www.we-connect.nu
2,Bakery Institute the Netherlands,Zaandam,www.bakeryinstitute.nl
2,Barada Opleidingscentrum,De Meern,www.barada.nl
2,Bartels Horse and Health Instituut,Prinsenbeek,www.bartelshorseandhealthinstituut.nl
2,BCL Instituut,Eindhoven,www.bclinstituut.nl
2,Beekpark Academy,Apeldoorn,www.beekparkacademy.nl
2,Bellein Academie,Cothen,www.belleinacademie.nl
2,Beroepsopleiding Iokai Shiatsu,Amsterdam,www.iokai.nl
2,Beroepsvervoer Academie B.V.,Amsterdam,www.beroepsvervoeracademie.nl
2,Bert Hellinger Instituut Nederland,Groningen,
2,Beuker Onderwijs,Abcoude,www.beukeronderwijs.nl
2,Beweeg & Groei Opleiding en Training,Katwijk Zh,www.bg-ot.nl
2,BFA Business and Fashion Academy,Eindhoven,www.businessfashionacademy.nl/
2,BGB Academy,Leiden,www.bgbdentistry.nl
2,Blink Opleiding en Onderzoek B.V.,'s-Hertogenbosch,www.blink.nl
2,BLNQImpact Opleiding BV,Vught,www.blnqimpact.nl
2,BM-Academie,Epse,www.bm-academie.nl
2,BML Academie,IJsselstein,www.BML-Academie.nl
2,Bob Brinkhof t.h.o.d.n. Kernkwadranten in het Onderwijs,Nijbroek,www.kernkwadranteninhetonderwijs.nl
2,BODA Onderwijsconsulting B.V.,Rotterdam,bonnevandamonderwijsadvies.nl
2,Boerma Instituut,Aalsmeer,www.bloemschikken.nl
2,Borstvoedingopleidingscentrum,Zevenhuizen,www.babypraktijknoord.nl
2,Brain College,Terneuzen,www.braincollege.nl
2,Breathfulness Academy,Steenbergen Nb,www.breathfulness.academy
2,Brickhouse Academy,Naarden,www.brickhouseacademy.nl
2,Brow Studio Academy B.V.,Hoorn,
2,Bu Ming academy,Bavel,www.bumingacademy.nl
2,Buijssen Training en Educatie,Tilburg,www.traumaopvang.com
2,BV Zorgacademie Oude IJssel,Doetinchem,
2,cameracollege,Breda,www.cameracollege.nl
2,Care for Women Institute B.V.,Leusden,www.careforwomen.nl
2,cgwonderwijs.nl,Zwolle,cgwonderwijs.nl
2,Chokkas Blackhair academy,Amsterdam,www.chokkas.nl
2,Christelijk Speciaal Onderwijs De Zonnehoek,Apeldoorn,www.cso-dezonnehoek.nl/
2,CIDE - Centre for Innovative Dental Education,'s-Gravenhage,www.cide.nl
2,Circe Instituut B.V.,Driebergen,www.circe-instituut.nl
2,CMC Tasly Group B.V. (Shenzhou Open University of TCM),Amsterdam,www.shenzhou-university.com
2,Coachopleiding De Verbindingskracht,Tilburg,deverbindingskracht.nu/
2,College24,Amersfoort,www.college24.nl
2,Competence Academy B.V.,Zaltbommel,www.competence.org
2,Compliance Insights Academy,Den Haag,www.complianceinsightsacademy.nl
2,CompUniversity BV,Giesbeek,www.compuniversity.nl
2,Concepting Academy,Balgoij,www.conceptingacademy.com
2,Consis Academie B.V.,Zwolle,www.consisacademie.nl
2,Contact Academy,Utrecht,
2,Coöperatie Instituut voor Veiligheid U.A.,Baarn,www.instituutvoorveiligheid.nl
2,Cooperatieve Nederlandse Academie voor Natuurgeneeskunde U.A.,Roosendaal,www.navn.nl
2,CrisisCommunicatieAcademie,Amersfoort,www.crisiscommunicatieacademie.nl
2,Cruise Flight Academy B.V.,Teuge,
2,CSD-Opleiding,Denekamp,www.csdenekamp.nl
2,Cube Consulting Onderwijs,Vught,www.cube-consulting.nl
2,CvS Academy,'s-Gravenhage,
2,DaVinci Academie,Amsterdam,www.davinciacademie.nl
2,DC Taleninstituut BV,Nes,dctaleninstituut.nl
2,De Academie,Den Haag,www.zin.nu
2,De Academy bv,'s-Gravenhage,www.or-academy.nl
2,De ArgumentenFabriek Denkacademie B.V.,Amsterdam,www.denkacademie.nl
2,De Communicatie Academie,Zwolle,www.communicatie-academie.nl
2,De Docentenacademie,Utrecht,www.dedocentenacademie.nl
2,de Doula Academie,Monnickendam,www.doulaacademie.nl
2,De Horeca Academie B.V.,Rijswijk zh,www.horecaacademie.nl
2,De Hormoon Expert Academy,Laren,www.hormoonexpertacademy.nl
2,De Inzichten Academie BV,Amsterdam,www.deinzichtenacademie.nl
2,De Jeugdzorgacademie BV,Haarlem,www.dejeugdzorgacademie.nl
2,De Karakter Academie BV,Roosendaal,www.dekarakteracademie.nl
2,"de Koppoter, instituut voor kindertekentaal",Drachten,www.dekoppoter.com
2,De Nieuwe IB Opleiding,Amsterdam,www.denieuweibopleiding.nl
2,De Opleidings Centrale,Doetinchem,www.deopleidingscentrale.nl/
2,De PLUSacademie B.V.,Zeist,www.plusacademie.nl
2,De Producer Academie,Utrecht,www.deproduceracademie.nl
2,De Taxi Academie B.V.,Amsterdam,www.detaxiacademie.nl
2,De Theraplay Academie,Amersfoort,www.detheraplayacademie.nl
2,De Trimacademie,Hardenberg,www.trimacademie.nl
2,Decommune / Move Breathe Academy,Rijen,www.movebreatheacademy.com
2,Delight Academy B.V.,Amsterdam,www.delightyoga.com/academy
2,Deloitte Education B.V.,Rotterdam,
2,Delta Capita Academy BV,Amsterdam-Zuidoost,deltacapita.com/
2,Dental Education Center,Baarn,www.dentaleducationcenter.nl
2,DevOn Academy B.V.,Delft,www.devon.nl
2,DilemmaAcademie B.V.,Zwolle,
2,DIOR Academy,'s-Gravenhage,www.dior.nl
2,DNC Opleiding en Search B.V.,Wassenaar,www.denieuwecommissaris.nl
2,Do-In Academy,Leiden,www.doinacademy.com
2,Dorn Instituut,Ommen,www.dorninstituut.nl
2,Doula Opleiding In Bloei,'s-Gravenhage,www.doulaopleidinginbloei.nl
2,Dr. Bill Academy,Sassenheim,www.drbillacademy.nl
2,Driestar educatief,Gouda,www.driestar-educatief.nl
2,Druppel Academy,Haarlem,www.druppel-academy.nl
2,Dutch Acupuncture Academy,Amsterdam,www.daa.academy
2,Dutch Dance Music Academy,Wijchen,www.dutchdancemusicacademy.nl
2,Dutch Institute for Self Defense (DISD),Rijswijk,www.disd.nl
2,Dutch Medical College,Lijnden,www.dutchmedicalcollege.nl
2,Dyade Academy,Utrecht,www.dyadeacademy.nl/
2,EBBEN Academy B.V.,Hilversum,ebbenpartners.com/nl/ebben-academy/
2,EchoCura Education,Hoorn Nh,www.martinoli-ultrasoundcourses.com
2,ECHT Onderwijs B.V.,Alphen a/d Rijn,www.echtonderwijs.nl
2,Ecology Academy,Weesp,ecology.academy
2,Education First Corporate Language Training SA,Barcelona,englishlive.ef.com/nl-nl/lp/ts/learn-engli
2,Effectief Onderwijs,Drachten,
2,Effectiefleesonderwijs.nl B.V.,De Meern,www.effectiefleesonderwijs.nl en www.gewoongoedles
2,Einders Educatie,Wessem,www.einders.nl
2,EISRA (European Institute of Scientific Research on Ayurveda,'s-Gravenhage,www.eisra.nl
2,Emotionele Intelligentie Academie,Amersfoort,www.omgaanmetemoties.nl/
2,EMOVE Institute,Amsterdam,
2,EMS Education Means Safety B.V.,Uden,www.btbfireandmedical.nl
2,Enhancing Trauma Treatment Institute B.V.,Amsterdam,
2,Enigma Onderwijs,Amsterdam,www.enigmaonderwijs.nl
2,Entree College Nederland,Putten,
2,European Academy of Traditional Osteopathy Holland,Dalfsen,
2,European college of phlebology,Capelle a/d IJssel,www.europeancollegeofphlebology.com
2,Event Safety Academy,Apeldoorn,www.eventsafetyacademy.nl
2,Excellus Academie b.v.,Haarlem,www.excellusacademie.nl
2,ExecutiveFlight Academy B.V.,Meer,www.executiveflight.nl
2,Experiential Training Institute,Amsterdam,www.experientialtraininginstitute.com
2,Expertis Onderwijsadviseurs,Almelo,www.expertis.nl
