Aanbieder,Beoordeelt zelf werk van lerenden,Bewijs (citaat + bron),Particulier,Bron particulier,Moeder / groep,Categorie
The New School for Information Services,Ja,"NVAO-rapport hbo-ba Marketing Communicatie (april 2019): ""The New School heeft in haar toetsbeleid opgenomen dat naast het hanteren van het vier-ogen principe bij het opstellen van toetsen, ook het vier-ogen principe zal worden toegepast bij het beoordelen van gemaakte toetsen."" — https://publicaties.nvao.net/5d384b1d7b3aa_008556%20rapport%20TNS%20hbo-ba%20Marketing%20Communicatie.pdf",Ja,"NVAO-geaccrediteerde particuliere hogeschool, bijzonder kenmerk Bildung",Zelfstandig,Privaat hbo Amsterdam (Marketing Communicatie). Sterkste inhoudelijke fit van de lijst: geschreven plannen worden expliciet gebruikt om de schrijfkwaliteit te beoordelen
Business School Notenboom,Ja,"NVAO-panelrapport hbo-ba Business Administration: ""De eindscripties zelf worden beoordeeld door een commissie van twee beoordelaars."" — https://publicaties.nvao.net/51a5ecfbdbe6e_rapport%20Notenboom%20hbo-ba%20Business%20Administration.pdf",Onbekend,Nog te checken,Business School Netherlands (overname maart 2025),"Privaat hbo business, plus vmbo-tl/havo/vwo en mbo"
University of Applied Sciences Europe (UE Amsterdam),Ja,"NVAO-adviesrapport onder de vorige naam InterCollege Business School: ""Het afstudeertraject wordt beoordeeld door de commissie, bestaande uit de voorzitter van de Examencommissie, de afstudeerbegeleider van ICBS en een extern commissielid."" en ""Docenten beoordelen tijdens een door hun verzorgd opleidingsonderdeel ook de P-competenties en geven daarover feedback aan studenten."" Let op: rapport uit 2010, onder de oude naam — https://publicaties.nvao.net/4dee20df93dda_rapport%20InterCollege%20hbo-ba%20Business%20Administration.pdf",Onbekend,Nog te checken,Global University Systems (24+ instellingen),Privaat hbo business (voorheen Intercollege Business School)
SBO (Studiecentrum Bedrijf en Overheid),Nee,"Onderdeel van Euroforum, dat in icp.md al is uitgesloten (marktgroep 7: uitgevers en kennisbedrijven met losse trainingsdagen). ""SBO organiseert jaarlijks ruim 200 evenementen voor senior management in de vorm van congressen, studiedagen en workshops"" — https://www.sbo.nl/overons/",Onbekend,Nog te checken,Euroforum BV / Cegos Group (Frankrijk),Congres- en studiedagenorganisator; geen beoordeeld deelnemerswerk
Coniche,Ja,"""Wanneer je de volledige opleiding afrondt en je eindopdracht met succes verdedigt, ontvang je het erkende diploma Customer Experience Management."" Praktijkopdrachten moeten minimaal 10.000 euro waarde opleveren voor de eigen organisatie — https://coniche.nl/opleidingen/hbo/post-hbo-customer-experience-management/",Onbekend,Nog te checken,Zelfstandig,Post-hbo klantcontact en advies
Actuarieel Instituut,Ja,"OER 2025-2026 art. 15 lid 1: ""Het AI is verantwoordelijk voor de organisatie, coordinatie en beoordeling van de tentamens."" — https://www.actuarieelinstituut.nl/download-bewerken/onderwijs-en-examenregeling-2025-2026 | Aanvullend: ""Master's thesis is mandatory"" — https://www.actuarieelinstituut.nl/opleidingsaanbod/executive-master-of-actuarial-science | NVAO EMAS-rapport: ""Beide examinatoren vullen onafhankelijk van elkaar het beoordelingsformulier in en komen uiteindelijk tot een gemiddeld cijfer."" — https://publicaties.nvao.net/prd/AV-2582_20240712_Rapport_RAPPORT%20EMAS%20-%20Actuarieel%20Instituut%20-%20DEF2.pdf",Ja,"Stichting, deeltijd beroepsopleidingen, EMAS kost EUR 30.450, geen bekostigde universiteit — https://www.actuarieelinstituut.nl/over-het-actuarieel-instituut",Stichting Actuarieel Instituut,"Postacademisch actuarieel vakonderwijs (EMAS/AM&RM/ANN), deeltijd, voor financiele/verzekerings- en pensioenprofessionals"
Amsterdam School of Real Estate (ASRE),Ja,"OER 2025-2026 art. 5 lid 2: ""Het resultaat van elke toets (...) wordt beoordeeld door de examinator. De examinatoren zijn bevoegd een beoordeling te geven."" — https://asre.nl/wp-content/uploads/2025/09/OER-2025-2026.pdf",Onbekend,Nog te checken,Nog te checken,"Postinitieel wetenschappelijk vastgoedonderwijs (wo-master MRE/MSRE), deeltijd"
Academica University of Applied Sciences,Ja,"NVAO-adviesrapport M Excellent Teaching: ""De thesis wordt door twee examinatoren beoordeeld aan de hand van een rubric."" — https://publicaties.nvao.net/prd/AV-2633_20250310_Rapport_Adviesrapport%20M%20Excellent%20Teaching%20Academica%20AV-2633.pdf",Onbekend,"Privaat hbo volgens NVAO-rapport, bekostigingsstatus nog te bevestigen",Academica Group,"Privaat hbo, bachelor en master voor werkende professionals (o.a. leraren), deeltijd"
AOG TSM Business School,Ja,"NVAO-visitatierapport MBA Innovation & Leadership: ""Examinatoren zijn voldoende geschoold om toetsen te ontwikkelen en het werk van deelnemers te beoordelen."" — https://publicaties.nvao.net/prd/AV-2976_20250320_Rapport_Definitief%20rapport%20visitatie%20MBA%20Innovation%20_%20Leadership_Aequi%20(ISAT%2070214).pdf",Onbekend,"B.V., postacademisch, nog te bevestigen",AOG TSM Business School B.V.,"Postacademisch bedrijfskundig managementonderwijs (MBA) voor werkende professionals, deeltijd"
Stichting Wateropleidingen,Ja,"""Je sluit de opleiding af met vier toetsen die samen een portfolio vormen (...) een digitaal examen, twee individuele en een groepsopdracht."" — https://www.wateropleidingen.nl/study/basisopleiding-drinkwaterdistributie-2/",Ja,"Onafhankelijke stichting ""opgericht door en voor de watersector"", geen ROC- of hogeschooldochter — https://www.wateropleidingen.nl/over-wateropleidingen/",Zelfstandige stichting,Particuliere vakopleider watersector
Academie Artemis,Ja,"NVAO-beoordelingsrapport Allround Styling: ""Ieder onderzoek wordt door de begeleider en een tegenlezer gelezen en summatief beoordeeld."" — https://publicaties.nvao.net/prd/AV-1034_20230217_Rapport_Beoordelingsrapport%20Artemis%20Allround%20Styling%20v2.0.pdf",Ja,Particuliere niet-bekostigde hogeschool volgens NVAO-rapport (zelfde bron),Zelfstandig,"Particulier hbo kunstvakonderwijs (Allround Styling, Creative Concept Developer), voltijd, Amsterdam"
Breederode Hogeschool,Ja,"NVAO-rapport Master Manuele Therapie: ""Bij al deze toetsen wordt het vier-ogenprincipe ingezet: de beoordeling wordt uitgevoerd door twee beoordelaars."" — https://publicaties.nvao.net/prd/AV-2238_20240304_Rapport_Breederode%20MMT%20def.pdf",Ja,"Particuliere hogeschool, deeltijdmaster voor werkende fysiotherapeuten (zelfde NVAO-bron)",Zelfstandig,"Particulier hbo, deeltijdmaster Manuele Therapie (90 EC) voor werkende fysiotherapeuten, Rotterdam"
KOB (Kader- en Ondernemersopleiding Bouwbedrijf),Ja,"Studiegids 2024-2025: ""De docent neemt op van tevoren afgesproken tijdstippen de studieopdrachten in ontvangst. Binnen een termijn van drie weken beoordeelt de docent het werk en geeft het, voorzien van commentaar en cijfer terug aan de cursist."" — https://www.kob.nl/media/2017/08/Studiegids-KOB-2024-2025.pdf",Ja,"Stichting BOB-KOB, cursisten betalen zelf studie- en examengeld, NRTO-voorwaarden voor particulier onderwijs van toepassing — zelfde studiegids",Stichting BOB-KOB,"Sectorale kaderopleiding bouw; studieopdrachten intern beoordeeld, eindexamens via Bouwend Nederland"
OSR juridische opleidingen,Ja,"""Het examen bestaat uit een kennistoets en een praktijkassessment."" — https://www.osr.nl/veelgestelde-vragen/",Ja,"NRTO-lid, circa 4.500 juristen per jaar tegen betaling, geen publieke bekostiging vermeld — https://www.osr.nl/over-ons/",Zelfstandig,Particuliere opleider juridische vakopleidingen
PHOV,Ja,"""Toetsing van de modules vindt plaats door middel van opdrachten en tentamens."" en ""Het scriptietraject wordt afgesloten met een presentatie en verdediging van de scriptie."" — https://www.phov.nl/opleiding/hogere-veiligheidskunde/begeleiding-en-toetsing",Ja,"NRTO-lid, betalende inschrijving, geen publieke bekostiging vermeld — https://www.phov.nl/phov/",PHOV B.V.,"Particuliere opleider veiligheidskunde en arbeidshygiene, met scriptietraject"
NIBE-SVV Opleidingen,Ja,"ESMA Vaardighedenexamen: praktijkcasus met open vragen, beoordeeld tegen een ""Normantwoord"" per ESMA-competentie — https://www.nibesvv.nl/demo-vragen-esma-examens/esma-vaardighedenexamenn-informeren-beleggen-retail",Ja,"Onderdeel van Salta Group, betalende deelnemers, geen publieke bekostiging — https://www.nibesvv.nl/over-nibe-svv",Salta Group (sinds 2014),"Particuliere opleider en exameninstituut financiele dienstverlening (Wft, DSI/ESMA)"
SPO Nyenrode (Stichting Pensioen Opleidingen),Ja,"""De kopieen gaan naar twee beoordelaars. Zij beoordelen onafhankelijk van elkaar elk examen."" en ""U bent geslaagd als: (...) U voor de praktijkcasus een 5,5 of hoger behaalt."" — https://www.spo.nl/over-ons/examens-bij-spo/",Ja,"SPO BV, betaalde opleidingen en examens — zelfde bron",Nyenrode Business Universiteit,"Pensioenopleider voor professionals bij pensioenfondsen, verzekeraars en werkgevers"
Stichting Beroepsopleiding Notariaat,Ja,"Onderwijs-, Examen- en Vrijstellingenreglement art. 7 lid 2: deelnemers moeten voorbereidende opdrachten inleveren; art. 8 lid 4: ""Beoordelaars zijn de deelnemers zelf, collega-deelnemers waarmee hij/zij samenwerkt en diens trainers en mentor."" — https://beroepsopleidingnotariaat.nl/wp-content/uploads/2024/12/20241204-Onderwijs-Examen-en-Vrijstellingenreglement-VASTGESTELD.pdf",Ja,"Deelnemers en kantoren betalen cursusgeld (art. 10 lid 2, zelfde reglement)","Opgezet door de KNB, uitgevoerd via CPO","Verplichte 3-jarige beroepsopleiding kandidaat-notarissen; deels peer review, deels trainers en mentor"
Grotius Academie,Ja,"""een deelnemer heeft een gecorrigeerd gemiddelde huiswerkcijfer van minimaal een 6.0"" (https://www.grotiusacademie.nl/veelgestelde-vragen/) en ""alle huiswerkopdrachten op tijd te hebben ingeleverd"" (https://www.grotiusacademie.nl/over-grotius/)",Ja,"Kantoren en deelnemers betalen, kosten per opleiding vermeld — zelfde FAQ",Zelfstandig,Postacademische juridische specialisatieopleidingen (9 maanden) voor juristen met minimaal 3 jaar ervaring
Kader Academy,Ja,"""Iedere module wordt afgerond met een kennistoets of een opdracht."" en ""De opleiding wordt afgerond met een begeleid scriptietraject."" — https://kader-academy.nl/veiligheid/hvk-opleiding-hogere-veiligheidskunde",Ja,Investering EUR 18.995 excl. btw — zelfde pagina,Zelfstandig,Particuliere opleider veiligheidskunde (MVK/HVK) voor werkende veiligheidskundigen
Vastgoed Business School,Ja,"""Voor iedere module wordt je kennis individueel of op groepsniveau getoetst door de docent van de betreffende module."" plus eindopdracht en mondelinge verdediging — https://www.vastgoedbs.nl/cursus/opleiding-vastgoedmanagement/",Ja,"EUR 8.995 all-in, CPION-geaccrediteerd post-hbo diploma — zelfde pagina",Zelfstandig,"Post-hbo vastgoedopleider voor vastgoedmanagers bij corporaties, gemeenten en zorg"
NCOI Opleidingen,Ja,"""Ze worden alleen ter correctie voorgelegd aan de beoordelaar van de opleiding en, indien noodzakelijk, aan een tweede beoordelaar"" en ""Als je scriptie door je begeleider en een onafhankelijker beoordelaar als verdedigbaar is beoordeeld..."" — https://www.ncoi.nl/vragen/Examens-en-afronding.html",Ja,"Particuliere opleider, betaalde opleidingen — zelfde bron",Salta Group,"[AL IN CLOSE - Nurturing, niet koud benaderen] Grootste particuliere hbo/post-hbo opleider voor werkende professionals"
Bestuursacademie Nederland,Ja,"""Binnen 4 weken na de examendatum of geplande inleverdatum van de opdracht is het cijfer met het beoordelingsformulier zichtbaar op e-Connect."" — https://www.bestuursacademie.nl/veelgestelde-vragen/examens-en-afronding.html",Ja,Niet-bekostigde opleider binnen de NCOI-opleidingsgroep,Salta Group / NCOI,"Opleider openbaar bestuur, bestuurskunde en bestuursrecht voor overheidsprofessionals"
Nevi,Ja,"Eigen examens en examenreglement: ""Wanneer je je inschrijft voor je examen, ga je akkoord met het examenreglement."" Het praktijkexamen bestaat uit een portfolio en een mondeling examen; per module een individuele examenopdracht die wordt ingeleverd — https://nevi.nl/opleidingen/nevi-2-publiek",Ja,Beroepsvereniging met betaalde opleidingen en examens — nevi.nl/opleidingen,Zelfstandig,"Beroepsvereniging en opleider inkoop, contract- en supply management"
Beroepsopleiding Personenschade,Ja,"""Het examen bestaat uit drie onderdelen: dossieraudit, onderhandelingsgesprek en een theorie examen."" Eigen Examencommissie en eigen Onderwijs- en Examenreglement; hbo-niveau, diploma met cijferlijst — https://www.beroepsopleiding-personenschade.nl/beroepsopleiding-personenschade-middelzwaar-letsel",Onbekend,"Waarschijnlijk particulier, geen bron gevonden",NIVRE-geaccrediteerd,Branche-opleiding letselschadebehandelaars
Hogeschool Markus Verbeek Praehep,Ja,"""Bij de beoordeling van de eindwerken van de Bachelor hanteert de opleiding het vierogenprincipe."" — https://publicaties.nvao.net/prd/AV-2797_20250129_Rapport_240926%20Beoordelingsrapport%20Ad%20_%20B%20Accountancy%20MVP.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (283 opleidingen),Salta Group / NCOI,Grootste particuliere deeltijd-hogeschool na NCOI; finance en accountancy voor werkenden
Schoevers,Ja,"""Het toepassen van het vier-ogenprincipe in de beoordeling van eindwerken."" — https://publicaties.nvao.net/prd/AV-3232_20251118_Rapport_250414%20Rapport%20Officemanagement%20Schoevers%20(1).pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (42 opleidingen),Salta Group / NCOI,"Ad en bachelor officemanagement en communicatie, deeltijd voor werkenden"
Habeo+ Hogeschool (voorheen Avans+),Ja,"""De afstudeerproducten worden door twee examinatoren beoordeeld."" — https://publicaties.nvao.net/prd/AV-1436_20230414_Rapport_Avans%20Rapport%20M%20Pipeline%20Technology.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (45 opleidingen),Zelfstandig,"Post-hbo en masters voor professionals: techniek, zorg, management"
Saxion Next,Ja,"""Deze tweede beoordelaar is een bevoegd docent waarmee de student recent heeft samengewerkt"" — https://publicaties.nvao.net/5af6e37f23ce3_rapport%20SaxionNext%20hbo-ba%20Leraar%20voortgezet%20onderwijs%20van%20de%20tweede%20graad%20regulier.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (32 opleidingen); bevoegd gezag Stichting Saxion,Stichting Saxion (private tak),Private deeltijdtak van Saxion: lerarenopleidingen en deeltijd-bachelors
Netherlands Business Academy,Ja,"""De praktijkgerichte paper wordt extern beoordeeld door onafhankelijke onderwijskundigen en vormt minimaal 70% van de eindbeoordeling van de module."" — https://publicaties.nvao.net/561230572dac8_003118%20rapport%20NBA%20hbo-ma%20Finance%20and%20Control.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (36 opleidingen),Zelfstandig,"MBA en master finance en management voor executives, deeltijd"
Global School for Entrepreneurship,Ja,"""The final assignment takes place according to the four-eyes principle, by the student's mentor and an independent examiner."" — https://publicaties.nvao.net/prd/AV-1050_20221006_Rapport_Panel%20report%20HBO-ba%20Business%20Psychology,%20Global%20School%20for%20Entrepreneurship%20(AV-1050).pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (8 opleidingen),Zelfstandig,"Engelstalige bachelors ondernemerschap en business psychology, internationale instroom"
Thim van der Laan,Ja,"""De beoordeling van de scripties is een zaak van twee beoordelaars die niet als begeleider bij het traject van het schrijven van de scriptie betrokken zijn geweest."" — https://publicaties.nvao.net/50f3d41b08aca_rapport%20THIM%20hbo-ba%20Fysiotherapie.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (3 opleidingen),Thim van der Laan B.V.,"Particuliere fysiotherapie-hogeschool; NL, Zwitserland en Duitsland"
SOMT University of Physiotherapy,Ja,"""Bij de masterproef borgt de opleiding de onafhankelijkheid van beoordelen van het eindniveau onder meer door het vier-ogen-principe."" — https://publicaties.nvao.net/prd/AV-2947_20250108_Rapport_20241021%20Definitief%20visitatierapport%205%20masters%20Fysiotherapie%20-%20SOMT%20University%20of%20Physiotherapy.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (7 opleidingen),Zelfstandig,Vijf hbo-masters fysiotherapie voor praktiserende therapeuten
Islamic University of Applied Sciences Rotterdam,Ja,"""Vervolgens dient elk hoofdstuk zowel door de scriptiebegeleider als de leescommissie beoordeeld en goedgekeurd te worden."" — https://publicaties.nvao.net/ACCR_010714_30GW-70131_Rapport_2022.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (2 opleidingen),Zelfstandig,Kleine hogeschool islamitische theologie en geestelijke verzorging
Nederlandse Academie voor Beeldcreatie,Ja,"""Op de beoordelingsformulieren zijn beoordelingscriteria geformuleerd, die de examinatoren afzonderlijk van een 0, 1, 2 of 3 voorzien."" — https://publicaties.nvao.net/60c7520a84b2f_010056%20advies%20Beeldcreatie%20hbo-ba%20Film%20en%20Audiovisuele%20Media.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (9 opleidingen); bevoegd gezag Stichting de Nederlandse Fotovakschool,Stichting de Nederlandse Fotovakschool,"Fotoacademie en filmacademie, 4 locaties, creatieve bachelors deeltijd"
NSO-CNA Leiderschapsacademie,Ja,"NVAO-rapport hbo-ma Educational Management: ""De summatieve toetsen worden beoordeeld met het vier-ogen principe."" — https://publicaties.nvao.net/5a96cc47a5d59_006286%20rapport%20NSO%20hbo-ma%20Educational%20Management.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (1 opleiding),Zelfstandig,"Master schoolleiderschap; deelnemers zijn schoolleiders, dus dubbele ingang"
Academie Hypnos,Ja,"Jaar 3 kent ""schriftelijk examen, een praktijkexamen en een afstudeeropdracht op hbo-niveau""; regels staan in het eigen Onderwijs Examen Reglement — https://hypnos.nl/de-opleiding-praktisch/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Vierjarige hbo-opleiding hypnotherapie, eigen OER en afstudeeropdracht"
Sound Education,Ja,"""Het resultaat wordt beoordeeld door de leraar en maakt deel uit van het Praktisch Eindexamen."" — https://www.soundeducation.nl/lesprogramma",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Eenjarige opleiding muziekproductie en geluidstechniek, eigen diploma"
Team Academy / Schoolvision,Ja,"""Our program and grading is based on e.g. team activities, assignments, company visits, and presentations."" — https://teamacademy.nl/faq/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"[AL IN CLOSE - Nurturing, niet koud benaderen] NVAO-geaccrediteerde hbo-bachelor ondernemerschap"
LSR / De eerste verdieping,Ja,"""Praktijktoetsing in aanwezigheid van een NLP Master Trainer"" — https://www.1e-verdieping.nl/Opleidingen/nlp-trainer/ (eigen trainers toetsen; overwegend praktijk, geschreven werk nog niet aangetoond)",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,NLP-opleider; eigen trainers examineren
Libereaux,Ja,"""Zodra het portfolio volledig gevuld is, kan het beoordeeld worden door een deskundig assessor"" en ""Het resultaat van een valideringstraject is een persoonlijk ervaringscertificaat waarin een assessor een beoordeling geeft van wat je hebt gepresenteerd."" — https://libereaux.nl/evc/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"EVC-aanbieder, portfoliovalidering in plaats van klassieke opleiding"
LOI (Leidse Onderwijsinstellingen),Ja,"""Je docent geeft feedback op je inzendopdrachten en beantwoordt eventuele vragen."" — https://www.loi.nl/studeren-bij-de-loi-zo-werkt-het",Ja,"NRTO-lid, particuliere aanbieder",Salta Group,Grote online opleider mbo en hbo; eigen docenten geven feedback op inzendopdrachten
Scobe Academy,Ja,"""Wanneer beide post-hbo examens en de praktijkopdracht met een voldoende (per onderdeel > 5,5) zijn beoordeeld, ontvang je het Scobe Academy diploma."" — https://scobe.nl/opleidingen/opleiding-planeconomie-vastgoedrecht",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Post-hbo opleider gebiedsontwikkeling en planeconomie
Bureau STERK,Ja,"""Bureau STERK neemt de instellingsexamens af: voor de talen zijn dat drie onderdelen: Spreken, Gesprekken en Schrijven."" — https://bureausterk.nl/toetsen",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,EVC-bureau met eigen assessoren en instellingsexamens
Schrijversvakschool,Ja,"""Aan het eind van elk studiejaar beoordeelt de docentenvergadering alle studenten op hun teksten en professionele ontwikkeling."" — https://www.schrijversvakschool.nl/opleiding/selectieenbeoordeling",Ja,"NRTO-lid, particuliere aanbieder",Stichting Continuiteit Schrijversvakschool,Vierjarige schrijfopleiding; docentenvergadering beoordeelt teksten
Berghauser Pont Academy,Nee,"Staat in icp.md al onder de uitgesloten uitgevers en kennisbedrijven (marktgroep 7). Losse cursusdagen plus kennisbank. Nuance: eerste leerroute ""Beleidsmedewerker Ruimte"" is inmiddels NLQF 6 geregistreerd, dus over een jaar opnieuw checken — https://berghauserpont.nl/cursussen-en-opleidingen/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Juridische cursussen omgevingsrecht; NLQF 6-leerroute in opbouw, heroverwegen bij groei"
Fiscaal Studie- en documentatie Centrum (FSDC),Ja,"""Je sluit de modules af met een landelijk georganiseerd schriftelijk examen. Wanneer je alle examens binnen een termijn van 3 jaar hebt behaald, ontvang je het diploma."" Let op: geen scriptie vereist, dus het nakijkvolume zit in de schriftelijke module-examens — https://fsdc.nl/examen-fiscaal-adviseur/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Fiscale hbo-opleider; examens samen met hogescholen
Bit Academy,Nee,"Diplomering ligt bij de partner-ROC, niet bij Bit Academy zelf: ""het ROC van Amsterdam zorgt ervoor dat studenten een officiele mbo-opleiding op niveau 4 afronden"". Zelfde model als de BBV-praktijkopleidingsbedrijven in icp.md marktgroep 4 — https://noorderpoort.nl/over-noorderpoort/verhalen/bit-academy-een-ict-opleiding-maar-dan-anders",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Tech-opleider; mbo-diplomering via partnerinstellingen
Zorgcampus Rotterdam,Ja,"""dit verzoek zorgvuldig beoordeeld zal worden door de examencommissie"" en ""de herkansingsprocedure van de examencommissie van Zorgcampus"" — https://zorgcampus.nl/aanvraag-derde-kans/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Erkende particuliere mbo-school zorg, eigen OER en examencommissie"
