Aanbieder,Beoordeelt zelf werk van lerenden,Bewijs (citaat + bron),Particulier,Bron particulier,Moeder / groep,Categorie
King nascholing,Ja,"""Als er sprake is van een eindtoets, die na afloop van de cursus moet worden ingeleverd en/of beoordeeld, kan het dus wat langer duren."" — https://www.kingnascholing.nl/faq",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Geaccrediteerde nascholing zorgprofessionals; eigen docent beoordeelt
KOB (Kader- en Ondernemersopleiding Bouwbedrijf),Ja,"Studiegids 2024-2025: ""De docent neemt op van tevoren afgesproken tijdstippen de studieopdrachten in ontvangst. Binnen een termijn van drie weken beoordeelt de docent het werk en geeft het, voorzien van commentaar en cijfer terug aan de cursist."" — https://www.kob.nl/media/2017/08/Studiegids-KOB-2024-2025.pdf",Ja,"Stichting BOB-KOB, cursisten betalen zelf studie- en examengeld, NRTO-voorwaarden voor particulier onderwijs van toepassing — zelfde studiegids",Stichting BOB-KOB,"Sectorale kaderopleiding bouw; studieopdrachten intern beoordeeld, eindexamens via Bouwend Nederland"
LOI (Leidse Onderwijsinstellingen),Ja,"""Je docent geeft feedback op je inzendopdrachten en beantwoordt eventuele vragen."" — https://www.loi.nl/studeren-bij-de-loi-zo-werkt-het",Ja,"NRTO-lid, particuliere aanbieder",Salta Group,Grote online opleider mbo en hbo; eigen docenten geven feedback op inzendopdrachten
LSR / De eerste verdieping,Ja,"""Praktijktoetsing in aanwezigheid van een NLP Master Trainer"" — https://www.1e-verdieping.nl/Opleidingen/nlp-trainer/ (eigen trainers toetsen; overwegend praktijk, geschreven werk nog niet aangetoond)",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,NLP-opleider; eigen trainers examineren
Mooivakonderwijs,Ja,"""De vakdocent van de module sluit de module af en beoordeelt (ook tussentijds) de kwaliteit van de verplichte opdrachten."" — https://www.mooivakonderwijs.nl/actueel/alles-wat-je-moet-weten-over-de-vakopleiding-tot-glazenier/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Particulier vakonderwijs ambachten, eigen examencommissie"
NCOI Opleidingen,Ja,"""Ze worden alleen ter correctie voorgelegd aan de beoordelaar van de opleiding en, indien noodzakelijk, aan een tweede beoordelaar"" en ""Als je scriptie door je begeleider en een onafhankelijker beoordelaar als verdedigbaar is beoordeeld..."" — https://www.ncoi.nl/vragen/Examens-en-afronding.html",Ja,"Particuliere opleider, betaalde opleidingen — zelfde bron",Salta Group,Grootste particuliere hbo/post-hbo opleider voor werkende professionals
Nederlandse Academie voor Beeldcreatie,Ja,"""Op de beoordelingsformulieren zijn beoordelingscriteria geformuleerd, die de examinatoren afzonderlijk van een 0, 1, 2 of 3 voorzien."" — https://publicaties.nvao.net/60c7520a84b2f_010056%20advies%20Beeldcreatie%20hbo-ba%20Film%20en%20Audiovisuele%20Media.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (9 opleidingen); bevoegd gezag Stichting de Nederlandse Fotovakschool,Stichting de Nederlandse Fotovakschool,"Fotoacademie en filmacademie, 4 locaties, creatieve bachelors deeltijd"
Netherlands Business Academy,Ja,"""De praktijkgerichte paper wordt extern beoordeeld door onafhankelijke onderwijskundigen en vormt minimaal 70% van de eindbeoordeling van de module."" — https://publicaties.nvao.net/561230572dac8_003118%20rapport%20NBA%20hbo-ma%20Finance%20and%20Control.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (36 opleidingen),Zelfstandig,"MBA en master finance en management voor executives, deeltijd"
NIA Academie,Ja,"""De examencommissie bestaat uit een gecommitteerde uit de praktijk en uit een docent."" — https://www.nia-academie.nl/over-nia/nia-portfolio-examen-diploma",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Particuliere interieuropleiding met eigen portfolio-examen
NIBE-SVV Opleidingen,Ja,"ESMA Vaardighedenexamen: praktijkcasus met open vragen, beoordeeld tegen een ""Normantwoord"" per ESMA-competentie — https://www.nibesvv.nl/demo-vragen-esma-examens/esma-vaardighedenexamenn-informeren-beleggen-retail",Ja,"Onderdeel van Salta Group, betalende deelnemers, geen publieke bekostiging — https://www.nibesvv.nl/over-nibe-svv",Salta Group (sinds 2014),"Particuliere opleider en exameninstituut financiele dienstverlening (Wft, DSI/ESMA)"
NOVI Hogeschool,Ja,"NVAO-rapport: ""ongeveer 25% schriftelijke theorietoetsen en 75% de praktijkopdrachten"", met vier-ogen principe — https://publicaties.nvao.net/ACCR_009686_24HR-34035_Rapport_2021.pdf",Ja,"Hbo-ICT kost EUR 30.000 totaal, aangewezen instelling zonder bekostiging — https://www.novi.nl/hbo-ict/",Stichting Hoger Onderwijs NOVI / Hogeschool NOVI B.V.,"Privaat hbo (IT), aangewezen instelling (rpho)"
OntwerpAcademie,Ja,"""De presentatie van je beplantingsadvies met aansluitend een criterium gericht interview met twee examinatoren"" — https://www.ontwerpacademie.nl/examens",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Vakopleiding tuinontwerp en tuinarchitectuur, twee eigen examinatoren"
OSR juridische opleidingen,Ja,"""Het examen bestaat uit een kennistoets en een praktijkassessment."" — https://www.osr.nl/veelgestelde-vragen/",Ja,"NRTO-lid, circa 4.500 juristen per jaar tegen betaling, geen publieke bekostiging vermeld — https://www.osr.nl/over-ons/",Zelfstandig,Particuliere opleider juridische vakopleidingen
PHOV,Ja,"""Toetsing van de modules vindt plaats door middel van opdrachten en tentamens."" en ""Het scriptietraject wordt afgesloten met een presentatie en verdediging van de scriptie."" — https://www.phov.nl/opleiding/hogere-veiligheidskunde/begeleiding-en-toetsing",Ja,"NRTO-lid, betalende inschrijving, geen publieke bekostiging vermeld — https://www.phov.nl/phov/",PHOV B.V.,"Particuliere opleider veiligheidskunde en arbeidshygiene, met scriptietraject"
Salta Group,Ja,"Eindopdrachten ""worden alleen ter correctie voorgelegd aan de beoordelaar van de opleiding en, indien noodzakelijk, aan een tweede beoordelaar"" — https://www.ncoi.nl/vragen/examens-en-afronding.html",Ja,"Commerciele opleidingsgroep, betalende deelnemers, geen rijksbekostiging","Salta Group, moeder van 20+ merken; ingangen NIBE-SVV en SRM",Private opleidingsgroep
Saxion Next,Ja,"""Deze tweede beoordelaar is een bevoegd docent waarmee de student recent heeft samengewerkt"" — https://publicaties.nvao.net/5af6e37f23ce3_rapport%20SaxionNext%20hbo-ba%20Leraar%20voortgezet%20onderwijs%20van%20de%20tweede%20graad%20regulier.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (32 opleidingen); bevoegd gezag Stichting Saxion,Stichting Saxion (private tak),Private deeltijdtak van Saxion: lerarenopleidingen en deeltijd-bachelors
Schoevers,Ja,"""Het toepassen van het vier-ogenprincipe in de beoordeling van eindwerken."" — https://publicaties.nvao.net/prd/AV-3232_20251118_Rapport_250414%20Rapport%20Officemanagement%20Schoevers%20(1).pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (42 opleidingen),Salta Group / NCOI,"Ad en bachelor officemanagement en communicatie, deeltijd voor werkenden"
Schouten & Nelissen,Ja,"""Heb je de Opleiding tot mediator succesvol afgerond en alle bijbehorende opdrachten ingeleverd die aan de gestelde eisen voldoen? Dan ontvang je het Schouten & Nelissen-diploma."" — https://www.sn.nl/opleidingen/beroepsopleidingen/opleiding-tot-mediator",Ja,"NRTO-lid, particuliere aanbieder",Schouten Company B.V.,Groot particulier trainings- en beroepsopleidingsinstituut (staat in NRTO onder tien rechtspersonen)
Schrijversvakschool,Ja,"""Aan het eind van elk studiejaar beoordeelt de docentenvergadering alle studenten op hun teksten en professionele ontwikkeling."" — https://www.schrijversvakschool.nl/opleiding/selectieenbeoordeling",Ja,"NRTO-lid, particuliere aanbieder",Stichting Continuiteit Schrijversvakschool,Vierjarige schrijfopleiding; docentenvergadering beoordeelt teksten
Scobe Academy,Ja,"""Wanneer beide post-hbo examens en de praktijkopdracht met een voldoende (per onderdeel > 5,5) zijn beoordeeld, ontvang je het Scobe Academy diploma."" — https://scobe.nl/opleidingen/opleiding-planeconomie-vastgoedrecht",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Post-hbo opleider gebiedsontwikkeling en planeconomie
SDO Hogeschool voor Moderne Bedrijfskunde,Ja,"OER 2025-2026 art. 3.6: ""Examinator beoordeelt op basis van vakinhoudelijke kennis de afgenomen examens (...) de examinator wordt aangesteld door de examencommissie"" — https://sdo-hogeschool.nl/wp-content/uploads/2025/11/OER-SDO-Hogeschool-onderwijs-en-examenregeling-2025-2026-BBA-voltijd-20251029.pdf",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"NVAO-geaccrediteerde hbo bedrijfskunde, deeltijd; deelt de OER met IBHS"
SOMT University of Physiotherapy,Ja,"""Bij de masterproef borgt de opleiding de onafhankelijkheid van beoordelen van het eindniveau onder meer door het vier-ogen-principe."" — https://publicaties.nvao.net/prd/AV-2947_20250108_Rapport_20241021%20Definitief%20visitatierapport%205%20masters%20Fysiotherapie%20-%20SOMT%20University%20of%20Physiotherapy.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (7 opleidingen),Zelfstandig,Vijf hbo-masters fysiotherapie voor praktiserende therapeuten
Sound Education,Ja,"""Het resultaat wordt beoordeeld door de leraar en maakt deel uit van het Praktisch Eindexamen."" — https://www.soundeducation.nl/lesprogramma",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Eenjarige opleiding muziekproductie en geluidstechniek, eigen diploma"
SPO Nyenrode (Stichting Pensioen Opleidingen),Ja,"""De kopieen gaan naar twee beoordelaars. Zij beoordelen onafhankelijk van elkaar elk examen."" en ""U bent geslaagd als: (...) U voor de praktijkcasus een 5,5 of hoger behaalt."" — https://www.spo.nl/over-ons/examens-bij-spo/",Ja,"SPO BV, betaalde opleidingen en examens — zelfde bron",Nyenrode Business Universiteit,"Pensioenopleider voor professionals bij pensioenfondsen, verzekeraars en werkgevers"
Stichting Beroepsopleiding Notariaat,Ja,"Onderwijs-, Examen- en Vrijstellingenreglement art. 7 lid 2: deelnemers moeten voorbereidende opdrachten inleveren; art. 8 lid 4: ""Beoordelaars zijn de deelnemers zelf, collega-deelnemers waarmee hij/zij samenwerkt en diens trainers en mentor."" — https://beroepsopleidingnotariaat.nl/wp-content/uploads/2024/12/20241204-Onderwijs-Examen-en-Vrijstellingenreglement-VASTGESTELD.pdf",Ja,"Deelnemers en kantoren betalen cursusgeld (art. 10 lid 2, zelfde reglement)","Opgezet door de KNB, uitgevoerd via CPO","Verplichte 3-jarige beroepsopleiding kandidaat-notarissen; deels peer review, deels trainers en mentor"
Stichting Wateropleidingen,Ja,"""Je sluit de opleiding af met vier toetsen die samen een portfolio vormen (...) een digitaal examen, twee individuele en een groepsopdracht."" — https://www.wateropleidingen.nl/study/basisopleiding-drinkwaterdistributie-2/",Ja,"Onafhankelijke stichting ""opgericht door en voor de watersector"", geen ROC- of hogeschooldochter — https://www.wateropleidingen.nl/over-wateropleidingen/",Zelfstandige stichting,Particuliere vakopleider watersector
Take Off Support,Ja,"""Dit verslag wordt onder supervisie plenair besproken op de terugkomdag."" — https://www.takeoffsupport.nl/opleidingen/emdr-cursus/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Opleider NLP, hypnotherapie en EMDR; verslag onder supervisie beoordeeld"
Team Academy / Schoolvision,Ja,"""Our program and grading is based on e.g. team activities, assignments, company visits, and presentations."" — https://teamacademy.nl/faq/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,NVAO-geaccrediteerde hbo-bachelor ondernemerschap
Thim van der Laan,Ja,"""De beoordeling van de scripties is een zaak van twee beoordelaars die niet als begeleider bij het traject van het schrijven van de scriptie betrokken zijn geweest."" — https://publicaties.nvao.net/50f3d41b08aca_rapport%20THIM%20hbo-ba%20Fysiotherapie.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (3 opleidingen),Thim van der Laan B.V.,"Particuliere fysiotherapie-hogeschool; NL, Zwitserland en Duitsland"
U-Consultancy,Ja,"""Alle modules worden afgesloten met een examen en portfolio-opdrachten via e-learning (...) een theoretische toets en een eindpresentatie van de eindopdracht voor de examencommissie"" — https://www.uconsultancy.nl/opleidingen/gespecialiseerd-verpleegkundige-dermatologie/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Opleider dermatologie en wondzorg voor zorgprofessionals
VAPRO,Ja,"Open examenvragen worden door twee onafhankelijke correctoren nagekeken, plus cases en scripties met dubbele beoordeling — https://www.exameninstrumentenmbo.nl/examenleveranciers/vapro",Onbekend,Nog te checken,dyo people solutions (voorheen Arnold Participaties),"Exameninstelling en bedrijfsopleider procestechniek, VAPRO B.V. KvK 27145441"
Variva Edu Academy,Ja,"""Examinering met waarde. De examens sluiten direct aan op situaties uit de beroepspraktijk (...) opdrachten en beoordelingen die aansluiten op de praktijk"" — https://www.variva.nl/onderwijsassistent/ (crebo-erkend, eigen examinatoren en examencommissie)",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Erkende particuliere mbo-opleider kinderopvang, onderwijs en zorg"
Vastgoed Business School,Ja,"""Voor iedere module wordt je kennis individueel of op groepsniveau getoetst door de docent van de betreffende module."" plus eindopdracht en mondelinge verdediging — https://www.vastgoedbs.nl/cursus/opleiding-vastgoedmanagement/",Ja,"EUR 8.995 all-in, CPION-geaccrediteerd post-hbo diploma — zelfde pagina",Zelfstandig,"Post-hbo vastgoedopleider voor vastgoedmanagers bij corporaties, gemeenten en zorg"
Winc Academy,Ja,"""After you submit an assignment, mentors will provide feedback to help you improve."" — https://faq.wincacademy.nl/nl/wat-doet-een-mentor-en-een-learner-admin-assistant",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Online IT-omscholing; eigen mentoren beoordelen ingeleverde opdrachten
WWZ Academie,Ja,"""je alle opdrachten van je opleiding hebt ingeleverd en deze door de docenten akkoord zijn beoordeeld"" — https://wwz-academie.nl/opleidingen/proeve-van-bekwaamheid",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Online opleider sociaal domein (Wmo, Participatiewet)"
Zorgcampus Rotterdam,Ja,"""dit verzoek zorgvuldig beoordeeld zal worden door de examencommissie"" en ""de herkansingsprocedure van de examencommissie van Zorgcampus"" — https://zorgcampus.nl/aanvraag-derde-kans/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Erkende particuliere mbo-school zorg, eigen OER en examencommissie"
AS-opleidingen,Onbekend,"Geschreven werk staat in de leerlijn: ""Basis Praktijkopdracht 1"", ""Praktijkopdracht 2"" en ""Paper"" (https://www.as-opleidingen.nl/leerlijnen/praktijk/). Wie beoordeelt wordt niet genoemd.",Ja,"CPION post-hbo gecertificeerd, betaalde vakopleiding",Zelfstandig,Vakopleider ambtelijk secretaris en adviseur medezeggenschap (OR-professionals)
Babel Taalcursussen,Onbekend,Nog te checken,Ja,"Privaat talencentrum, cursisten betalen — https://www.babel.nl/over-babel/","Babel B.V. (KvK 57830975); moeder mogelijk Sinear B.V., niet bevestigd","Privaat talencentrum, official language partner Universiteit Utrecht"
Beeckestijn Business School,Onbekend,Nog te checken,Onbekend,Nog te checken,"Zelfstandig (Beeckestijn Business School B.V., KvK 09164553)","Post-hbo en executive: digital, marketing, CX, AI, data, leiderschap"
