Naam,Website,Plaats,Adres,Postcode,Lid sinds,Sectoren,Regios,Marktgroepen,status,score,pos,neg,signalen,aliassen
OSR OpMaat,www.osr.nl,Utrecht ,Arthur van Schendelstraat 650,3511MJ,2021-10-05,,,,ok,9,17,8,+eindopdracht +toetsing +beoordeling +herkansing +modules? (?:wordt|worden)  +meerdaagse leergang|leerga -certificaat van deelname|b -eendaagse|1-?daagse|tweeda,1
Take Off Support,https://www.takeoffsupport.nl,ARNHEM,Willemsplein 9,6811 KB,2022-05-03,,,,ok,9,10,1,+crkbo +toetsing +reflectieverslag +diploma -incompany training(?!s?pro,0
Winc Academy,https://wincacademy.nl,Amsterdam,van de Sande Bakhuijzenstraat 4,1061 AG,2020-06-25,,,,ok,9,9,0,+eindopdracht +portfolio +crkbo +diploma,0
Academie voor Chinese Geneeswijze Qing- Bai,www.qing-bai.nl,Milsbeek,Kanonskamp 60,6596 AT ,2022-07-27,,,,ok,8,8,0,+toetsing +herkansing +diploma,0
Bedrijfskunde Opleiding Utrecht,https://bedrijfskundeopleidingutrecht.nl/,UTRECHT,Koningsbergerstraat 9,3531 AJ,2020-03-10,,,,ok,8,8,0,+post-?hbo +cpion +meerdaagse leergang|leerga,0
BTSG,www.btsg.nl,ZWOLLE,Branderweg 3a,8042 PD,2010-03-02,,,,ok,8,9,1,+studiepunten +crkbo +beoordeling +studiebelasting +diploma -incompany training(?!s?pro,0
Contractgroep Inholland B.V.,www.inhollandacademy.nl,ALKMAAR,Bergerweg 200,1817 MN,2010-11-16,,,,ok,8,8,0,+afstudeeropdracht +post-?hbo,0
Fiscaal Studie- en documentatie Centrum ,https://www.fsdc.nl ,Loenen ,Hoofdweg 115,7371 GG,2023-01-02,,,,ok,8,8,0,+examencommissie +beoordeling +studiebelasting,0
Hogeschool NOVI,www.novi.nl,UTRECHT,Newtonlaan 247 ,3584 BH ,2012-07-01,,,,ok,8,8,0,+praktijkopdracht +studiepunten +diploma,0
Hogeschool TIO/TIO College,www.tio.nl,Hilversum,Marathon 7,1213 PD,1995-04-24,,,,ok,8,8,0,+praktijkopdracht +beoordeling +diploma,0
IBHS,www.ibhs.nl,Amsterdam,Prinsengracht 701,1017 JV,2025-02-21,,,,ok,8,8,0,+\boer\b +hbo-?bachelor|hbo-?master +crkbo +diploma,0
Luzac Onderwijs B.V.,www.luzac.nl,HILVERSUM,Marathon 7,1213 PD,2001-02-01,,,,ok,8,8,0,+toetsing +herkansing +diploma,0
Nederlands Compliance Instituut B.V.,https://compliance-instituut.nl,Rotterdam,Burgemeester Hazenberglaan 401,3078 HG,2023-03-30,,,,ok,8,8,0,+praktijkopdracht +diploma +meerdaagse leergang|leerga,0
NIA Academie B.V.,https://nia-academie.nl/,Amsterdam,Memeleiland 45,1014 ZL,2022-04-18,,,,ok,8,8,0,+eindopdracht +portfolio +diploma,0
Stichting Continuiteit Schrijversvakschool,www.schrijversvakschool.nl,Amsterdam,Herengracht 613,1017 CE,2022-02-21,,,,ok,8,8,0,+examencommissie +beoordeling +diploma,0
The Lean Six Sigma Company B.V.,https://www.theleansixsigmacompany.nl,Rotterdam,Van Nelleweg 1,3044 BC,2023-11-01,,,,ok,8,8,0,+praktijkopdracht +beoordeling +diploma,0
